termino,coeficiente,abs_coef
num__diabetes,-15.070057557836826,15.070057557836826
num__hipertension,-11.924886566224014,11.924886566224014
num__depresion,-10.880361770956531,10.880361770956531
num__fuma,-8.031592566871659,8.031592566871659
cat__nivel_socioeconomico_bajo,-3.039667069866376,3.039667069866376
num__calidad_sueno,3.0138219651660356,3.0138219651660356
num__porciones_azucar_dia,-2.2147519931158213,2.2147519931158213
num__estres,-2.120434507925632,2.120434507925632
num__horas_pantalla,-1.6989172258345857,1.6989172258345857
num__exceso_imc,-1.4972977448940457,1.4972977448940457
cat__nivel_socioeconomico_medio,-1.4095842133507424,1.4095842133507424
num__contaminacion_aire,-0.8219581461117789,0.8219581461117789
num__inseguridad,-0.7333936520011222,0.7333936520011222
num__contaminacion_auditiva,-0.5707094475301543,0.5707094475301543
num__contaminacion_agua,-0.5327561612288529,0.5327561612288529
num__contaminacion_suelo,-0.36391898960024555,0.36391898960024555
num__unidades_alcohol_semana,-0.35295169189233666,0.35295169189233666
num__trafico,-0.3418477412127995,0.3418477412127995
num__actividad_efectiva,0.035356042950827136,0.035356042950827136
