indice_sueno_salud_mental,indice_actividad_corporal,indice_habitos_saludables,indice_contexto_socioambiental,indice_carga_clinica,valor_real,valor_predicho,residuo
-1.3443,-0.2897,0.617,-0.3447,-0.8474,16.0116,17.7671,-1.7555
-0.0044,1.044,-0.2156,0.3374,0.4271,60.1917,60.5958,-0.4042
-0.0913,0.0889,0.2347,-0.0813,0.4271,52.5241,49.4797,3.0445
0.2206,-0.0468,0.8809,0.059,0.4271,55.4598,57.2429,-1.7831
-0.1062,0.0434,-0.4158,0.3002,0.4271,51.1704,46.4556,4.7149
-0.226,1.0473,0.3821,0.4472,0.4271,67.0725,63.6208,3.4517
0.5801,0.9567,0.0798,0.2593,0.4271,72.7011,67.6078,5.0932
-0.0932,-0.2588,-0.4552,0.0082,0.4271,37.353,40.865,-3.5121
0.8033,1.2951,0.7889,0.0335,0.4271,80.6466,77.6904,2.9562
-0.7253,0.1892,0.6924,0.3849,0.4271,48.4927,50.5764,-2.0837
-0.3894,0.245,-0.7033,-0.4452,0.4271,42.4499,38.2959,4.154
-0.7303,-0.2813,-0.4558,-0.1976,-1.1097,10.0023,14.0926,-4.0904
-1.6478,-1.107,-0.1202,-0.3826,-2.3842,-23.4335,-18.8668,-4.5666
-0.9297,-0.4534,0.2003,-0.288,-2.3842,-5.0648,-0.702,-4.3628
-0.4398,-0.9136,0.0575,0.0741,0.4271,36.9589,34.1905,2.7684
-0.4775,-0.5358,-0.1456,-0.8702,0.4271,21.2274,29.9083,-8.6809
0.1892,-1.3571,-0.3427,0.1602,-2.3842,-9.963,0.0637,-10.0267
-0.2462,0.4393,0.1387,-0.0721,0.4271,46.88,51.0861,-4.206
0.0577,0.4548,-0.25,-0.0061,0.4271,57.8177,51.9854,5.8323
0.3813,1.1656,-0.0592,0.8826,0.4271,66.3223,71.0898,-4.7674
0.5447,-0.6909,0.0285,-0.3152,0.4271,38.4209,44.3129,-5.892
0.2571,-0.6047,0.371,-0.3058,-2.3842,10.1772,11.503,-1.3258
0.1199,-0.8539,-0.0611,-0.1702,0.4271,38.7582,38.2478,0.5104
-1.2009,-0.9511,0.0287,-0.8172,-2.3842,-16.3634,-14.2013,-2.1621
-0.777,0.0342,-0.9443,0.2312,0.4271,39.797,34.6194,5.1776
0.0572,0.8577,-0.1094,-0.2318,0.4271,51.0324,56.0224,-4.99
-0.2939,-0.6895,0.6032,-0.0716,0.4271,38.4023,41.4587,-3.0564
0.8094,0.2236,0.5701,0.3958,0.4271,63.7851,66.5406,-2.7555
1.6455,0.8951,0.0586,0.9464,0.4271,83.1777,82.9425,0.2352
0.8008,1.5168,0.7389,-0.2093,0.4271,77.5379,78.084,-0.546
