gbd_scat;sexo;Egresos
I.A.09.e. Oncocercosis;Mujeres;1
I.A.12.x. Encefalitis japonesa;Mujeres;5
I.A.05.c. Difteria;Mujeres;9
I.A.13.x. Tracoma;Mujeres;11
I.A.09.d. Filariasis y dracontiasis;Mujeres;16
II.E.13.x. Trastornos del sueño;Mujeres;25
I.A.05.d. Sarampión;Mujeres;27
I.A.14.c. Anquilostomiasis y necatoriasis;Mujeres;23
I.A.14.b. Trichuriasis;Mujeres;32
I.E.02.x. Síndrome congénito de deficiencia de yodo;Mujeres;43
I.A.09.c. Leishmaniasis;Mujeres;35
I.E.03.x. Deficiencia de Vitamina A;Mujeres;60
I.A.02.b. Clamidia;Mujeres;102
I.A.14.x. Otras infestaciones intestinales;Mujeres;145
I.A.10.x. Lepra;Mujeres;109
I.A.05.b. Poliomielitis;Mujeres;233
II.N.03.x. Anodoncia y pérdida de dientes;Mujeres;248
IV.B.01.x. Examen de pesquiza especial para tumores;Mujeres;326
I.A.05.e. Tétanos;Mujeres;90
I.A.09.b. Esquistosomiasis;Mujeres;286
I.A.09.a. Tripanosomiasis;Mujeres;273
II.E.12.x. Trastorno de pánico;Mujeres;393
I.A.02.c. Gonorrea;Mujeres;609
II.M.02.x. Anencefalia y malformaciones similares;Mujeres;597
I.E.05.x. Otros trastornos nutricionales;Mujeres;580
I.A.07.a. Hepatitis B;Mujeres;541
II.E.11.x. Trastornos obsesivo-compulsivos;Mujeres;609
I.A.08.x. Malaria;Mujeres;693
II.F.03.x. Presbiopía;Mujeres;1129
II.M.07.x. Agenesia renal;Mujeres;952
IV.A.01.x. Control de salud de rutina del niño;Mujeres;947
IV.C.01.x. Examen de pesquiza especial para otras enfermedades y trastornos (diferentes a tumores);Mujeres;1237
II.L.03.x. Gota;Mujeres;354
II.E.07.x. Enfermedad de Parkinson;Mujeres;1203
II.F.04.x. Sordera;Mujeres;1384
I.A.14.a. Ascariasis;Mujeres;1500
I.A.07.b. Hepatitis C;Mujeres;1475
II.E.08.x. Esclerosis múltiple;Mujeres;2506
I.A.02.a. Sífilis;Mujeres;2383
II.E.14.x. Migraña;Mujeres;3554
II.M.08.x. Síndrome de Down;Mujeres;2605
II.M.03.x. Atresia anorectal;Mujeres;2205
II.M.06.x. Fístula traquoesofágica, atresia y estenosis esofágica;Mujeres;2436
II.E.10.x. Estrés post-traumático;Mujeres;4472
II.G.01.x. Enfermedad cardíaca reumática;Mujeres;4632
II.A.02.x. Tumor maligno del esófago;Mujeres;2320
II.M.01.x. Defectos de la pared abdominal;Mujeres;4374
II.N.02.x. Enfermedad periodontal;Mujeres;5947
I.A.05.a. Tos ferina;Mujeres;5614
II.L.01.x. Artritis reumatoide;Mujeres;8636
I.A.07.c. Otras hepatitis virales;Mujeres;5912
II.M.10.x. Espina bífida;Mujeres;6181
I.A.06.x. Meningitis;Mujeres;5419
II.M.04.x. Labio leporino;Mujeres;5142
II.F.01.x. Glaucoma;Mujeres;7666
II.A.14.x. Tumor maligno de la vejiga;Mujeres;4263
II.E.15.x. Retraso mental;Mujeres;6170
II.A.06.x. Tumor maligno del páncreas;Mujeres;7941
I.B.03.x. Otitis media;Mujeres;8838
II.A.05.x. Tumor maligno del hígado;Mujeres;9561
II.G.05.x. Enfermedades inflamatorias del corazón (excepto Fiebre reumática);Mujeres;8138
III.A.02.x. Fracturas de la columna vertebral (cervical, dorsal y lumbar);Mujeres;6015
II.N.01.x. Caries dental;Mujeres;10892
II.E.06.x. Demencia y otros trastornos degenerativos y hereditarios del Sistema Nervioso Central;Mujeres;11469
II.A.01.x. Tumor maligno de la boca y orofaringe;Mujeres;11308
I.C.03.x. Infección puerperal;Mujeres;28748
II.A.07.x. Tumor maligno de tráquea, bronquios y pulmón;Mujeres;12409
III.B.01.x. Amputaciones de miembros superior e inferior;Mujeres;6991
II.A.03.x. Tumor maligno del estómago;Mujeres;15047
II.A.11.x. Tumor maligno del cuerpo del útero;Mujeres;32433
I.E.01.x. Desnutrición calórico protéica;Mujeres;15915
II.I.02.x. Ulcera péptica;Mujeres;14330
III.E.01.x. Herida de la cabeza;Mujeres;9786
II.A.13.x. Tumor maligno de la próstata;Mujeres;174
II.E.02.x. Trastorno bipolar;Mujeres;27442
II.A.08.x. Melanoma y otros tumores malignos de la piel;Mujeres;23940
II.A.12.x. Tumor maligno del ovario;Mujeres;49797
III.I.01.x. Los demás traumatismos, envenenamientos y otras consecuencias de causas externas;Mujeres;22349
II.M.09.x. Malformaciones congénitas del corazón;Mujeres;25597
II.E.01.x. Depresión unipolar mayor;Mujeres;41779
I.A.01.x. Tuberculosis;Mujeres;21068
II.M.05.x. Paladar hendido;Mujeres;25033
III.E.04.x. Otras heridas;Mujeres;14523
II.L.04.x. Espondilopatías y otras dorsopatías;Mujeres;35400
I.B.01.c. COVID-19;Mujeres;28514
II.L.02.x. Osteoartritis;Mujeres;45146
II.N.04.x. Otras enfermedades de la boca;Mujeres;44362
III.A.01.x. Fractura de huesos del cráneo y de la cara;Mujeres;16702
II.E.09.x. Uso de drogas;Mujeres;12156
III.A.04.x. Fractura a nivel de la muñeca y de la mano;Mujeres;22459
III.A.07.x. Otras fracturas;Mujeres;25058
II.A.15.x. Linfomas y mieloma múltiple;Mujeres;35962
I.A.03.x. VIH/SIDA;Mujeres;19091
II.A.04.x. Tumor maligno del colon y recto;Mujeres;40946
II.E.05.x. Uso de alcohol;Mujeres;10260
III.E.02.x. Herida del tórax, del abdomen, de la región lumbosacra y de la pelvis;Mujeres;15456
IV.E.01.x. Supervisión del embarazo (normal y de alto riesgo y pesquisas prenatales);Mujeres;91318
II.J.02.x. Hipertrofia prostática benigna;Mujeres;78
III.C.01.x. Luxaciones, esguinces y desgarros de regiones especificadas y de múltiples regiones del cuerpo;Mujeres;37126
I.A.02.x. Otras enfermedades de transmisión sexual;Mujeres;92207
III.E.03.x. Heridas de los miembros superior e inferior;Mujeres;24933
I.A.11.x. Dengue;Mujeres;58096
I.B.02.x. Infecciones respiratorias agudas altas;Mujeres;52537
II.E.03.x. Esquizofrenia;Mujeres;52737
II.E.04.x. Epilepsia;Mujeres;58314
II.A.10.x. Tumor maligno del cuello del útero;Mujeres;124648
III.F.01.x. Quemaduras y corrosiones;Mujeres;45378
I.E.04.x. Anemia;Mujeres;86522
III.H.01.x. Complicaciones precoces, complicaciones de atención médica y quirúrgica y secuelas de traumatismos y envenenamientos;Mujeres;83958
II.H.02.x. Asma;Mujeres;81745
III.G.01.x. Envenenamiento por drogas y sustancias biológicas y efectos tóxicos de sustancias no medicinales;Mujeres;77549
I.A.15.x. Otras enfermedades infecciosas;Mujeres;82920
II.I.03.x. Cirrosis y otras enfermedades crónicas del hígado;Mujeres;58541
II.H.01.x. Enfermedad pulmonar obstructiva crónica;Mujeres;98970
II.G.03.x. Enfermedades isquémicas del corazón;Mujeres;67515
II.F.05.x. Otros trastornos de los órganos de los sentidos;Mujeres;107217
II.E.16.x. Otros trastornos neuropsiquiátricos;Mujeres;110234
II.G.02.x. Enfermedades hipertensivas;Mujeres;126550
II.F.02.x. Cataratas;Mujeres;122713
