Desglose Geográfico,Desglose por sexo,edad_agrupada,Nombre de medidas,Todas las causas,Prom. Número de registros,Valores de medidas
Nacional,Ambos Sexos,85 años y +,Ganancia en Esperanza de vida,Todas las causas no excluídas,1,0
Nacional,Ambos Sexos,80 a 84,Ganancia en Esperanza de vida,Todas las causas no excluídas,1,0
Nacional,Ambos Sexos,75 a 79,Ganancia en Esperanza de vida,Todas las causas no excluídas,1,1.776356839e-15
Nacional,Ambos Sexos,70 a 74,Ganancia en Esperanza de vida,Todas las causas no excluídas,1,0
Nacional,Ambos Sexos,65 a 69,Ganancia en Esperanza de vida,Todas las causas no excluídas,1,-3.552713679e-15
Nacional,Ambos Sexos,60 a 64,Ganancia en Esperanza de vida,Todas las causas no excluídas,1,0
Nacional,Ambos Sexos,55 a 59,Ganancia en Esperanza de vida,Todas las causas no excluídas,1,7.105427358e-15
Nacional,Ambos Sexos,50 a 54,Ganancia en Esperanza de vida,Todas las causas no excluídas,1,-7.105427358e-15
Nacional,Ambos Sexos,45 a 49,Ganancia en Esperanza de vida,Todas las causas no excluídas,1,7.105427358e-15
Nacional,Ambos Sexos,40 a 44,Ganancia en Esperanza de vida,Todas las causas no excluídas,1,1.421085472e-14
Nacional,Ambos Sexos,35 a 39,Ganancia en Esperanza de vida,Todas las causas no excluídas,1,1.421085472e-14
Nacional,Ambos Sexos,30 a 34,Ganancia en Esperanza de vida,Todas las causas no excluídas,1,3.552713679e-14
Nacional,Ambos Sexos,25 a 29,Ganancia en Esperanza de vida,Todas las causas no excluídas,1,1.421085472e-14
Nacional,Ambos Sexos,20 a 24,Ganancia en Esperanza de vida,Todas las causas no excluídas,1,2.131628207e-14
Nacional,Ambos Sexos,15 a 19,Ganancia en Esperanza de vida,Todas las causas no excluídas,1,2.842170943e-14
Nacional,Ambos Sexos,10 a 14,Ganancia en Esperanza de vida,Todas las causas no excluídas,1,1.421085472e-14
Nacional,Ambos Sexos,5 a 9,Ganancia en Esperanza de vida,Todas las causas no excluídas,1,2.842170943e-14
Nacional,Ambos Sexos,1 a 4,Ganancia en Esperanza de vida,Todas las causas no excluídas,1,2.842170943e-14
Nacional,Ambos Sexos,Menor de 1,Ganancia en Esperanza de vida,Todas las causas no excluídas,1,4.263256415e-14
Nacional,Ambos Sexos,85 años y +,Esperanza de vida,Todas las causas no excluídas,1,5.752939609
Nacional,Ambos Sexos,80 a 84,Esperanza de vida,Todas las causas no excluídas,1,8.210048605
Nacional,Ambos Sexos,75 a 79,Esperanza de vida,Todas las causas no excluídas,1,11.059438680
Nacional,Ambos Sexos,70 a 74,Esperanza de vida,Todas las causas no excluídas,1,14.214246047
Nacional,Ambos Sexos,65 a 69,Esperanza de vida,Todas las causas no excluídas,1,17.671944523
Nacional,Ambos Sexos,60 a 64,Esperanza de vida,Todas las causas no excluídas,1,21.381923336
Nacional,Ambos Sexos,55 a 59,Esperanza de vida,Todas las causas no excluídas,1,25.341112420
Nacional,Ambos Sexos,50 a 54,Esperanza de vida,Todas las causas no excluídas,1,29.519177456
Nacional,Ambos Sexos,45 a 49,Esperanza de vida,Todas las causas no excluídas,1,33.828585853
Nacional,Ambos Sexos,40 a 44,Esperanza de vida,Todas las causas no excluídas,1,38.263784721
Nacional,Ambos Sexos,35 a 39,Esperanza de vida,Todas las causas no excluídas,1,42.768992602
Nacional,Ambos Sexos,30 a 34,Esperanza de vida,Todas las causas no excluídas,1,47.289292457
Nacional,Ambos Sexos,25 a 29,Esperanza de vida,Todas las causas no excluídas,1,51.858278729
Nacional,Ambos Sexos,20 a 24,Esperanza de vida,Todas las causas no excluídas,1,56.476758527
Nacional,Ambos Sexos,15 a 19,Esperanza de vida,Todas las causas no excluídas,1,61.228361816
Nacional,Ambos Sexos,10 a 14,Esperanza de vida,Todas las causas no excluídas,1,66.136951450
Nacional,Ambos Sexos,5 a 9,Esperanza de vida,Todas las causas no excluídas,1,71.058279636
Nacional,Ambos Sexos,1 a 4,Esperanza de vida,Todas las causas no excluídas,1,74.900036295
Nacional,Ambos Sexos,Menor de 1,Esperanza de vida,Todas las causas no excluídas,1,75.110032596
Nacional,Ambos Sexos,85 años y +,Años persona vividos acumulados,Todas las causas no excluídas,1,196268.046589562
Nacional,Ambos Sexos,80 a 84,Años persona vividos acumulados,Todas las causas no excluídas,1,405252.674166729
Nacional,Ambos Sexos,75 a 79,Años persona vividos acumulados,Todas las causas no excluídas,1,683824.675825464
Nacional,Ambos Sexos,70 a 74,Años persona vividos acumulados,Todas las causas no excluídas,1,1017842.81161445
Nacional,Ambos Sexos,65 a 69,Años persona vividos acumulados,Todas las causas no excluídas,1,1394400.92477707
Nacional,Ambos Sexos,60 a 64,Años persona vividos acumulados,Todas las causas no excluídas,1,1802922.46559367
Nacional,Ambos Sexos,55 a 59,Años persona vividos acumulados,Todas las causas no excluídas,1,2234607.93071497
Nacional,Ambos Sexos,50 a 54,Años persona vividos acumulados,Todas las causas no excluídas,1,2682497.65293693
Nacional,Ambos Sexos,45 a 49,Años persona vividos acumulados,Todas las causas no excluídas,1,3142023.23434958
