año,nivel_de_agregacion,sexo,grupo_de_edad,tipo_de_localidad_rural_o_urbano,region_geografica_de_Mexico,nivel_educativo,nivel_socioeconomico,presencia_de_discapacidad,porcentaje_de_personas_que_sufrieron_accidente,intervalo_de_confianza_inferior,intervalo_de_confianza_superior,poblacion_representada_que_sufrieron_accidente
2000,nacional,-,-,-,-,-,-,-,5.8,5.4,6.2,"2,877,544"
2000,estratificado,hombre,-,-,-,-,-,-,7.6,7,8.3,"1,775,843"
2000,estratificado,mujer,-,-,-,-,-,-,4.2,3.7,4.7,"1,102,352"
2000,estratificado,-,20-39,-,-,-,-,-,5.3,4.8,5.8,"1,588,661"
2000,estratificado,-,40-59,-,-,-,-,-,6,5.3,6.8,"813,647"
2000,estratificado,-,60+,-,-,-,-,-,7.8,6.7,9,"474,030"
2000,estratificado,-,-,rural,-,-,-,-,5,4.5,5.6,"931,541"
2000,estratificado,-,-,urbano,-,-,-,-,6.2,5.7,6.8,"1,920,885"
2000,estratificado,-,-,-,norte ,-,-,-,5.4,4.8,6.1,"532,003"
2000,estratificado,-,-,-,centro,-,-,-,6.1,5.3,6.8,"1,132,280"
2000,estratificado,-,-,-,cdmx,-,-,-,6.8,5.3,8.7,"432,129"
2000,estratificado,-,-,-,sur,-,-,-,5.2,4.7,5.8,"771,894"
2000,estratificado,-,-,-,-,primaria o menos,-,-,5.3,4.8,6,"1,170,273"
2000,estratificado,-,-,-,-,secundaria,-,-,5.8,5,6.7,"610,239"
2000,estratificado,-,-,-,-,media,-,-,6,5,7.3,"541,825"
2000,estratificado,-,-,-,-,superior,-,-,7.1,5.8,8.6,"322,657"
2000,estratificado,-,-,-,-,-,bajo,-,5.2,4.7,5.7,"771,877"
2000,estratificado,-,-,-,-,-,medio,-,5.7,5.1,6.4,"924,995"
2000,estratificado,-,-,-,-,-,alto,-,6.3,5.5,7.2,"1,168,086"
2000,estratificado,-,-,-,-,-,-,no,,,,
2000,estratificado,-,-,-,-,-,-,si,,,,
2000,estratificado,hombre,20-39,-,-,-,-,-,7.7,6.9,8.6,"1,078,613"
2000,estratificado,hombre,40-59,-,-,-,-,-,7.3,6.1,8.7,"474,773"
2000,estratificado,hombre,60+,-,-,-,-,-,7.8,6.3,9.7,"222,663"
2000,estratificado,mujer,20-39,-,-,-,-,-,3.2,2.7,3.7,"510,937"
2000,estratificado,mujer,40-59,-,-,-,-,-,4.8,3.9,5.8,"338,738"
2000,estratificado,mujer,60+,-,-,-,-,-,7.7,6.6,9,"248,144"
2000,estratificado,hombre,-,rural,-,-,-,-,7,6.1,8,"616,771"
2000,estratificado,hombre,-,urbano,-,-,-,-,8,7.2,8.8,"1,164,426"
2000,estratificado,mujer,-,rural,-,-,-,-,3.3,2.9,3.8,"324,053"
2000,estratificado,mujer,-,urbano,-,-,-,-,4.7,4.1,5.4,"772,055"
2000,estratificado,hombre,-,-,norte ,-,-,-,7.3,6.2,8.5,"345,330"
2000,estratificado,hombre,-,-,centro,-,-,-,8.2,7.1,9.4,"726,422"
2000,estratificado,hombre,-,-,cdmx,-,-,-,7.3,5,10.6,"202,027"
2000,estratificado,hombre,-,-,sur,-,-,-,7.2,6.3,8.1,"504,684"
2000,estratificado,mujer,-,-,norte ,-,-,-,3.7,3.1,4.4,"189,490"
2000,estratificado,mujer,-,-,centro,-,-,-,4.1,3.4,5.1,"397,830"
2000,estratificado,mujer,-,-,cdmx,-,-,-,6.5,4.7,8.8,"233,178"
2000,estratificado,mujer,-,-,sur,-,-,-,3.5,3,4,"274,211"
2000,estratificado,hombre,-,-,-,primaria o menos,-,-,7.3,6.3,8.4,"697,585"
2000,estratificado,hombre,-,-,-,secundaria,-,-,8.4,7,10,"455,620"
2000,estratificado,hombre,-,-,-,media,-,-,7.4,5.6,9.8,"309,724"
2000,estratificado,hombre,-,-,-,superior,-,-,7.3,5.7,9.2,"214,819"
2000,estratificado,mujer,-,-,-,primaria o menos,-,-,3.9,3.4,4.4,"488,462"
2000,estratificado,mujer,-,-,-,secundaria,-,-,3,2.4,3.7,"152,919"
2000,estratificado,mujer,-,-,-,media,-,-,4.8,3.8,6.1,"232,558"
2000,estratificado,mujer,-,-,-,superior,-,-,6.8,5.1,8.9,"108,918"
2000,estratificado,hombre,-,-,-,-,bajo,-,7.3,6.4,8.3,"502,214"
2000,estratificado,hombre,-,-,-,-,medio,-,7.9,6.8,9.1,"596,070"
2000,estratificado,hombre,-,-,-,-,alto,-,7.6,6.4,8.9,"679,555"
2000,estratificado,mujer,-,-,-,-,bajo,-,3.3,3,3.7,"262,817"
2000,estratificado,mujer,-,-,-,-,medio,-,3.8,3.2,4.5,"329,947"
2000,estratificado,mujer,-,-,-,-,alto,-,5.2,4.3,6.2,"499,176"
2000,estratificado,hombre,-,-,-,-,-,no,,,,
2000,estratificado,hombre,-,-,-,-,-,si,,,,
2000,estratificado,mujer,-,-,-,-,-,no,,,,
2000,estratificado,mujer,-,-,-,-,-,si,,,,
2006,nacional,-,-,-,-,-,-,-,5.3,4.9,5.7,"2,617,999"
2006,estratificado,hombre,-,-,-,-,-,-,6.8,6.1,7.5,"1,498,573"
2006,estratificado,mujer,-,-,-,-,-,-,4.1,3.6,4.6,"1,121,693"
2006,estratificado,-,20-39,-,-,-,-,-,5.1,4.5,5.7,"1,254,464"
2006,estratificado,-,40-59,-,-,-,-,-,5.2,4.5,5.9,"853,960"
2006,estratificado,-,60+,-,-,-,-,-,6.2,5.4,7.1,"519,346"
2006,estratificado,-,-,rural,-,-,-,-,5.3,4.6,6,"607,123"
2006,estratificado,-,-,urbano,-,-,-,-,5.3,4.9,5.8,"2,010,876"
2006,estratificado,-,-,-,norte ,-,-,-,5,4.4,5.6,"486,112"
2006,estratificado,-,-,-,centro,-,-,-,5.3,4.6,6.1,"990,679"
2006,estratificado,-,-,-,cdmx,-,-,-,5.8,4.3,7.6,"308,805"
2006,estratificado,-,-,-,sur,-,-,-,5.3,4.8,5.9,"829,857"
2006,estratificado,-,-,-,-,primaria o menos,-,-,5.3,4.8,5.8,"1,383,819"
2006,estratificado,-,-,-,-,secundaria,-,-,5.2,4.5,6.1,"565,257"
2006,estratificado,-,-,-,-,media,-,-,5.4,4.5,6.5,"411,367"
2006,estratificado,-,-,-,-,superior,-,-,5.5,4.3,7,"263,899"
2006,estratificado,-,-,-,-,-,bajo,-,5.7,5.1,6.3,"777,424"
2006,estratificado,-,-,-,-,-,medio,-,4.9,4.3,5.5,"756,354"
2006,estratificado,-,-,-,-,-,alto,-,5.4,4.8,6,"1,097,354"
2006,estratificado,-,-,-,-,-,-,no,,,,
2006,estratificado,-,-,-,-,-,-,si,,,,
2006,estratificado,hombre,20-39,-,-,-,-,-,7.4,6.5,8.3,"803,092"
2006,estratificado,hombre,40-59,-,-,-,-,-,6.3,5.2,7.6,"468,378"
2006,estratificado,hombre,60+,-,-,-,-,-,6,4.9,7.5,"225,040"
2006,estratificado,mujer,20-39,-,-,-,-,-,3.3,2.6,4.1,"453,576"
2006,estratificado,mujer,40-59,-,-,-,-,-,4.3,3.5,5.2,"386,473"
2006,estratificado,mujer,60+,-,-,-,-,-,6.3,5.3,7.5,"291,431"
2006,estratificado,hombre,-,rural,-,-,-,-,7.2,6.1,8.3,"375,791"
2006,estratificado,hombre,-,urbano,-,-,-,-,6.6,5.9,7.5,"1,110,022"
2006,estratificado,mujer,-,rural,-,-,-,-,3.7,2.9,4.6,"230,726"
2006,estratificado,mujer,-,urbano,-,-,-,-,4.2,3.7,4.9,"887,146"
2006,estratificado,hombre,-,-,norte ,-,-,-,6.6,5.7,7.6,"295,794"
2006,estratificado,hombre,-,-,centro,-,-,-,7.2,6,8.7,"592,849"
2006,estratificado,hombre,-,-,cdmx,-,-,-,5.5,3.5,8.6,"131,795"
2006,estratificado,hombre,-,-,sur,-,-,-,6.8,5.9,7.7,"470,956"
2006,estratificado,mujer,-,-,norte ,-,-,-,3.6,3,4.4,"188,658"
2006,estratificado,mujer,-,-,centro,-,-,-,3.8,2.9,4.9,"397,406"
2006,estratificado,mujer,-,-,cdmx,-,-,-,5.9,4.1,8.5,"172,750"
2006,estratificado,mujer,-,-,sur,-,-,-,4.1,3.6,4.8,"358,006"
2006,estratificado,hombre,-,-,-,primaria o menos,-,-,6.9,6.1,7.8,"748,306"
2006,estratificado,hombre,-,-,-,secundaria,-,-,6.7,5.5,8.2,"351,142"
2006,estratificado,hombre,-,-,-,media,-,-,7.2,5.7,9,"238,424"
2006,estratificado,hombre,-,-,-,superior,-,-,5.9,4.3,7.9,"155,786"
2006,estratificado,mujer,-,-,-,primaria o menos,-,-,4.1,3.6,4.7,"625,856"
2006,estratificado,mujer,-,-,-,secundaria,-,-,3.8,3,4.8,"213,917"
2006,estratificado,mujer,-,-,-,media,-,-,4,2.9,5.6,"172,258"
2006,estratificado,mujer,-,-,-,superior,-,-,5.1,3.2,8,"110,044"
2006,estratificado,hombre,-,-,-,-,bajo,-,7.2,6.3,8.2,"439,027"
2006,estratificado,hombre,-,-,-,-,medio,-,6.6,5.6,7.8,"442,882"
2006,estratificado,hombre,-,-,-,-,alto,-,6.6,5.5,7.8,"609,174"
2006,estratificado,mujer,-,-,-,-,bajo,-,4.4,3.7,5.3,"331,823"
2006,estratificado,mujer,-,-,-,-,medio,-,3.5,2.9,4.2,"305,392"
2006,estratificado,mujer,-,-,-,-,alto,-,4.4,3.6,5.4,"488,025"
2006,estratificado,hombre,-,-,-,-,-,no,,,,
2006,estratificado,hombre,-,-,-,-,-,si,,,,
2006,estratificado,mujer,-,-,-,-,-,no,,,,
2006,estratificado,mujer,-,-,-,-,-,si,,,,
2012,nacional,-,-,-,-,-,-,-,5.8,5.4,6.2,"4,052,743"
2012,estratificado,hombre,-,-,-,-,-,-,7.1,6.5,7.7,"2,345,852"
2012,estratificado,mujer,-,-,-,-,-,-,4.7,4.3,5.2,"1,731,232"
2012,estratificado,-,20-39,-,-,-,-,-,5.8,5.2,6.3,"2,054,785"
2012,estratificado,-,40-59,-,-,-,-,-,4.9,4.3,5.6,"1,161,584"
2012,estratificado,-,60+,-,-,-,-,-,7.9,6.9,9.1,"848,598"
2012,estratificado,-,-,rural,-,-,-,-,4.9,4.3,5.4,"721,960"
2012,estratificado,-,-,urbano,-,-,-,-,6.1,5.6,6.6,"3,363,601"
2012,estratificado,-,-,-,norte ,-,-,-,5.2,4.6,5.8,"726,454"
2012,estratificado,-,-,-,centro,-,-,-,6.1,5.4,6.9,"1,611,390"
2012,estratificado,-,-,-,cdmx,-,-,-,6.8,5.4,8.6,"549,404"
2012,estratificado,-,-,-,sur,-,-,-,5.5,5,6.1,"1,177,490"
2012,estratificado,-,-,-,-,primaria o menos,-,-,5.9,5.3,6.5,"1,619,890"
2012,estratificado,-,-,-,-,secundaria,-,-,5.3,4.5,6.1,"997,511"
2012,estratificado,-,-,-,-,media,-,-,6.6,5.7,7.7,"890,182"
2012,estratificado,-,-,-,-,superior,-,-,5.6,4.7,6.6,"566,190"
2012,estratificado,-,-,-,-,-,bajo,-,5.5,5,6.2,"1,214,157"
2012,estratificado,-,-,-,-,-,medio,-,6.4,5.7,7.1,"1,519,045"
2012,estratificado,-,-,-,-,-,alto,-,5.5,4.9,6.3,"1,323,532"
2012,estratificado,-,-,-,-,-,-,no,5.2,3.5,7.8,"113,786"
2012,estratificado,-,-,-,-,-,-,si,8.7,7.5,10,"739,654"
2012,estratificado,hombre,20-39,-,-,-,-,-,8.2,7.3,9.2,"1,368,595"
2012,estratificado,hombre,40-59,-,-,-,-,-,5.1,4.4,6,"578,653"
2012,estratificado,hombre,60+,-,-,-,-,-,7.7,6.2,9.4,"385,297"
2012,estratificado,mujer,20-39,-,-,-,-,-,3.6,3,4.3,"674,537"
2012,estratificado,mujer,40-59,-,-,-,-,-,4.8,4,5.7,"593,264"
2012,estratificado,mujer,60+,-,-,-,-,-,8.2,6.9,9.7,"470,508"
2012,estratificado,hombre,-,rural,-,-,-,-,6.3,5.5,7.1,"452,881"
2012,estratificado,hombre,-,urbano,-,-,-,-,7.3,6.6,8.1,"1,887,165"
2012,estratificado,mujer,-,rural,-,-,-,-,3.5,2.8,4.4,"264,085"
2012,estratificado,mujer,-,urbano,-,-,-,-,5,4.5,5.6,"1,464,471"
2012,estratificado,hombre,-,-,norte ,-,-,-,6.5,5.7,7.4,"445,469"
2012,estratificado,hombre,-,-,centro,-,-,-,6.9,5.9,8.1,"862,399"
2012,estratificado,hombre,-,-,cdmx,-,-,-,7.8,5.4,11,"289,199"
2012,estratificado,hombre,-,-,sur,-,-,-,7.4,6.5,8.3,"738,562"
2012,estratificado,mujer,-,-,norte ,-,-,-,3.9,3.2,4.7,"277,559"
2012,estratificado,mujer,-,-,centro,-,-,-,5.4,4.6,6.4,"751,555"
2012,estratificado,mujer,-,-,cdmx,-,-,-,6,4.4,8.2,"262,307"
