año,sexo,grupo_de_edad,tipo_de_localidad_rural_o_urbano,region_geografica_de_Mexico,nivel_educativo,nivel_socioeconomico,presencia_de_discapacidad,porcentaje_de_diagnostico_de_diabetes,intervalo_de_confianza_inferior,intervalo_de_confianza_superior,poblacion_representada_con_diagnostico_de_diabetes
2000,-,-,-,-,-,-,-,5.7,5.3,6.1,2828000
2000,hombre,-,-,-,-,-,-,5.3,4.7,6,1244000
2000,mujer,-,-,-,-,-,-,6,5.6,6.5,1584000
2000,-,20-39,-,-,-,-,-,1.4,1.2,1.7,433000
2000,-,40-59,-,-,-,-,-,9.8,9.1,10.6,1333000
2000,-,60+,-,-,-,-,-,17.5,16,19,1061000
2000,-,-,rural,-,-,-,-,4.5,4.1,5.1,848000
2000,-,-,urbano,-,-,-,-,6.4,6,6.8,1980000
2000,-,-,-,norte ,-,-,-,6.7,5.9,7.5,656000
2000,-,-,-,centro,-,-,-,5.3,4.8,5.8,987000
2000,-,-,-,cdmx,-,-,-,7.3,6,8.7,463000
2000,-,-,-,sur,-,-,-,4.9,4.3,5.5,722000
2000,-,-,-,-,primaria o menos ,-,-,7.6,6.9,8.4,1679000
2000,-,-,-,-,secundaria,-,-,3.3,2.7,4.1,349000
2000,-,-,-,-,media,-,-,3.1,2.5,3.7,278000
2000,-,-,-,-,superior,-,-,3.7,2.7,5,167000
2000,-,-,-,-,-,bajo,-,3.5,3.1,3.9,522000
2000,-,-,-,-,-,medio,-,6,5.4,6.6,974000
2000,-,-,-,-,-,alto,-,7.2,6.6,7.9,1332000
2000,-,-,-,-,-,-,no,,,,
2000,-,-,-,-,-,-,si,,,,
2000,hombre,20-39,-,-,-,-,-,1.5,1.1,2.1,216000
2000,hombre,40-59,-,-,-,-,-,9,7.8,10.3,584000
2000,hombre,60+,-,-,-,-,-,15.5,13.9,17.3,443000
2000,mujer,20-39,-,-,-,-,-,1.4,1.1,1.6,217000
2000,mujer,40-59,-,-,-,-,-,10.6,9.6,11.7,749000
2000,mujer,60+,-,-,-,-,-,19.2,17,21.5,618000
2000,hombre,-,rural,-,-,-,-,3.9,3.3,4.6,343000
2000,hombre,-,urbano,-,-,-,-,6.2,5.4,7.1,901000
2000,mujer,-,rural,-,-,-,-,5.1,4.5,5.8,505000
2000,mujer,-,urbano,-,-,-,-,6.6,6,7.2,1079000
2000,hombre,-,-,norte ,-,-,-,5.9,5,7,279000
2000,hombre,-,-,centro,-,-,-,4.7,3.8,5.8,419000
2000,hombre,-,-,cdmx,-,-,-,8,5.6,11.1,221000
2000,hombre,-,-,sur,-,-,-,4.6,3.9,5.6,326000
2000,mujer,-,-,norte ,-,-,-,7.4,6.5,8.3,377000
2000,mujer,-,-,centro,-,-,-,5.8,5.1,6.7,568000
2000,mujer,-,-,cdmx,-,-,-,6.7,5.2,8.6,242000
2000,mujer,-,-,sur,-,-,-,5,4.4,5.7,396000
2000,hombre,-,-,-,primaria o menos ,-,-,7.1,6.1,8.3,680000
2000,hombre,-,-,-,secundaria,-,-,3.9,2.9,5.3,214000
2000,hombre,-,-,-,media,-,-,3.4,2.4,4.8,142000
2000,hombre,-,-,-,superior,-,-,4.1,2.8,6.1,122000
2000,mujer,-,-,-,primaria o menos ,-,-,8,7.2,8.8,999000
2000,mujer,-,-,-,secundaria,-,-,2.7,2,3.5,135000
2000,mujer,-,-,-,media,-,-,2.8,2.2,3.6,135000
2000,mujer,-,-,-,superior,-,-,2.8,2,4,45000
2000,hombre,-,-,-,-,bajo,-,2.7,2.2,3.4,189000
2000,hombre,-,-,-,-,medio,-,5.8,4.8,7,440000
2000,hombre,-,-,-,-,alto,-,6.9,6,7.9,614000
2000,mujer,-,-,-,-,bajo,-,4.2,3.7,4.7,333000
2000,mujer,-,-,-,-,medio,-,6.1,5.4,6.9,533000
2000,mujer,-,-,-,-,alto,-,7.5,6.7,8.3,717000
2000,hombre,-,-,-,-,-,no,,,,
2000,hombre,-,-,-,-,-,si,,,,
2000,mujer,-,-,-,-,-,no,,,,
2000,mujer,-,-,-,-,-,si,,,,
2006,-,-,-,-,-,-,-,7,6.6,7.5,4212000
2006,hombre,-,-,-,-,-,-,6.6,6,7.3,1789000
2006,mujer,-,-,-,-,-,-,7.4,6.9,7.9,2423000
2006,-,20-39,-,-,-,-,-,1.8,1.5,2.2,545000
2006,-,40-59,-,-,-,-,-,9.6,8.8,10.5,1905000
2006,-,60+,-,-,-,-,-,17.5,16,19,1761000
2006,-,-,rural,-,-,-,-,4.8,4.2,5.5,588000
2006,-,-,urbano,-,-,-,-,7.6,7.1,8.2,3624000
2006,-,-,-,norte ,-,-,-,7.4,6.8,8,879000
2006,-,-,-,centro,-,-,-,6.9,6.1,7.7,1604000
2006,-,-,-,cdmx,-,-,-,8.2,6.5,10.3,568000
2006,-,-,-,sur,-,-,-,6.5,5.9,7.2,1161000
2006,-,-,-,-,primaria o menos ,-,-,9.9,9.2,10.6,2590000
2006,-,-,-,-,secundaria,-,-,4.2,3.5,5.1,460000
2006,-,-,-,-,media,-,-,4,3.1,5.1,306000
2006,-,-,-,-,superior,-,-,4.1,3,5.5,196000
2006,-,-,-,-,-,bajo,-,5.2,4.6,5.9,713000
2006,-,-,-,-,-,medio,-,7.7,7,8.4,1189000
2006,-,-,-,-,-,alto,-,8.1,7.3,9,1651000
2006,-,-,-,-,-,-,no,,,,
2006,-,-,-,-,-,-,si,,,,
2006,hombre,20-39,-,-,-,-,-,1.9,1.5,2.4,253000
2006,hombre,40-59,-,-,-,-,-,9.3,8.1,10.7,851000
2006,hombre,60+,-,-,-,-,-,15.1,13.2,17.3,685000
2006,mujer,20-39,-,-,-,-,-,1.8,1.4,2.2,292000
2006,mujer,40-59,-,-,-,-,-,9.9,8.9,10.9,1054000
2006,mujer,60+,-,-,-,-,-,19.4,17.6,21.3,1077000
2006,hombre,-,rural,-,-,-,-,3.8,3.1,4.6,214000
2006,hombre,-,urbano,-,-,-,-,7.3,6.6,8.2,1576000
2006,mujer,-,rural,-,-,-,-,5.6,4.9,6.5,375000
2006,mujer,-,urbano,-,-,-,-,7.8,7.2,8.5,2048000
2006,hombre,-,-,norte ,-,-,-,6.2,5.5,7,346000
2006,hombre,-,-,centro,-,-,-,7.1,6,8.4,738000
2006,hombre,-,-,cdmx,-,-,-,7.5,5,11.2,241000
2006,hombre,-,-,sur,-,-,-,5.9,5.1,6.8,465000
2006,mujer,-,-,norte ,-,-,-,8.4,7.6,9.3,534000
2006,mujer,-,-,centro,-,-,-,6.7,5.9,7.7,866000
2006,mujer,-,-,cdmx,-,-,-,8.8,7,11,327000
2006,mujer,-,-,sur,-,-,-,7,6.2,7.9,696000
2006,hombre,-,-,-,primaria o menos ,-,-,8.3,7.4,9.3,902000
2006,hombre,-,-,-,secundaria,-,-,5.2,4.1,6.7,274000
2006,hombre,-,-,-,media,-,-,4.1,3,5.6,137000
2006,hombre,-,-,-,superior,-,-,5.8,4.1,8.3,154000
2006,mujer,-,-,-,primaria o menos ,-,-,11,10.2,12,1688000
2006,mujer,-,-,-,secundaria,-,-,3.3,2.6,4.2,187000
2006,mujer,-,-,-,media,-,-,3.9,2.7,5.7,169000
2006,mujer,-,-,-,superior,-,-,1.9,1.2,3.1,42000
2006,hombre,-,-,-,-,bajo,-,4.2,3.5,5,255000
2006,hombre,-,-,-,-,medio,-,6.8,5.7,8,456000
2006,hombre,-,-,-,-,alto,-,8.2,7,9.5,756000
2006,mujer,-,-,-,-,bajo,-,6.1,5.2,7,458000
2006,mujer,-,-,-,-,medio,-,8.4,7.5,9.4,733000
2006,mujer,-,-,-,-,alto,-,8.1,7.1,9.1,895000
2006,hombre,-,-,-,-,-,no,,,,
2006,hombre,-,-,-,-,-,si,,,,
2006,mujer,-,-,-,-,-,no,,,,
2006,mujer,-,-,-,-,-,si,,,,
2012,-,-,-,-,-,-,-,9,7.9,10.2,5635000
2012,hombre,-,-,-,-,-,-,8.6,7,10.6,2593000
2012,mujer,-,-,-,-,-,-,9.3,8,10.9,3042000
2012,-,20-39,-,-,-,-,-,1.5,1,2.3,469000
2012,-,40-59,-,-,-,-,-,13.3,11.1,15.9,2829000
2012,-,60+,-,-,-,-,-,23.9,19.8,28.6,2336000
2012,-,-,rural,-,-,-,-,6.6,5.5,7.8,877000
2012,-,-,urbano,-,-,-,-,9.7,8.3,11.2,4758000
2012,-,-,-,norte ,-,-,-,8.6,7.3,10.2,1097000
2012,-,-,-,centro,-,-,-,8,6.5,9.9,1912000
2012,-,-,-,cdmx,-,-,-,14,9.2,20.8,1050000
2012,-,-,-,sur,-,-,-,8.4,6.8,10.4,1576000
2012,-,-,-,-,primaria o menos ,-,-,,,,
2012,-,-,-,-,secundaria,-,-,,,,
2012,-,-,-,-,media,-,-,,,,
2012,-,-,-,-,superior,-,-,,,,
2012,-,-,-,-,-,bajo,-,7.6,6.4,9,1499000
2012,-,-,-,-,-,medio,-,8.1,6.7,9.8,1773000
2012,-,-,-,-,-,alto,-,11.2,9,13.9,2363000
2012,-,-,-,-,-,-,no,,,,
2012,-,-,-,-,-,-,si,,,,
2012,hombre,20-39,-,-,-,-,-,,,,
2012,hombre,40-59,-,-,-,-,-,13.8,10.4,18,1430000
2012,hombre,60+,-,-,-,-,-,22.9,16.2,31.2,986000
2012,mujer,20-39,-,-,-,-,-,,,,
2012,mujer,40-59,-,-,-,-,-,12.8,10.3,15.8,1399000
2012,mujer,60+,-,-,-,-,-,24.7,19.9,30.3,1350000
2012,hombre,-,rural,-,-,-,-,6.1,4.5,8.2,409000
2012,hombre,-,urbano,-,-,-,-,9.4,7.3,11.8,2185000
2012,mujer,-,rural,-,-,-,-,7,5.7,8.6,469000
2012,mujer,-,urbano,-,-,-,-,9.9,8.3,11.9,2573000
2012,hombre,-,-,norte ,-,-,-,,,,
2012,hombre,-,-,centro,-,-,-,,,,
2012,hombre,-,-,cdmx,-,-,-,,,,
2012,hombre,-,-,sur,-,-,-,,,,
2012,mujer,-,-,norte ,-,-,-,,,,
2012,mujer,-,-,centro,-,-,-,,,,
2012,mujer,-,-,cdmx,-,-,-,,,,
2012,mujer,-,-,sur,-,-,-,,,,
2012,hombre,-,-,-,primaria o menos ,-,-,,,,
2012,hombre,-,-,-,secundaria,-,-,,,,
2012,hombre,-,-,-,media,-,-,,,,
2012,hombre,-,-,-,superior,-,-,,,,
2012,mujer,-,-,-,primaria o menos ,-,-,,,,
2012,mujer,-,-,-,secundaria,-,-,,,,
2012,mujer,-,-,-,media,-,-,,,,
2012,mujer,-,-,-,superior,-,-,,,,
2012,hombre,-,-,-,-,bajo,-,6.3,4.6,8.7,622000
2012,hombre,-,-,-,-,medio,-,6.6,4.9,8.8,679000
2012,hombre,-,-,-,-,alto,-,13,9.3,17.9,1293000
