año,nivel_de_agregacion,sexo,grupo_de_edad,tipo_de_localidad_rural_o_urbano,region_geografica_de_Mexico,nivel_educativo,nivel_socioeconomico,presencia_de_discapacidad,porcentaje_de_personas_con_diagnostico_de_hipertension,intervalo_de_confianza_inferior,intervalo_de_confianza_superior,poblacion_representada_con_diagnostico_de_hipertension
2000,nacional ,-,-,-,-,-,-,-,14.8,14.2,15.4,6030000
2000,estratificado,hombre,-,-,-,-,-,-,11.1,10.1,12.1,2014000
2000,estratificado,mujer,-,-,-,-,-,-,17.7,17.0,18.5,4016000
2000,estratificado,-,20-39,-,-,-,-,-,7.5,6.9,8.3,1795000
2000,estratificado,-,40-59,-,-,-,-,-,21.0,19.9,22.1,2434000
2000,estratificado,-,60+,-,-,-,-,-,33.5,31.4,35.5,1800000
2000,estratificado,-,-,rural,-,-,-,-,13.9,13.0,15.0,2014000
2000,estratificado,-,-,urbano,-,-,-,-,15.2,14.4,16.1,4016000
2000,estratificado,-,-,-,norte ,-,-,-,14.7,13.5,15.9,1248000
2000,estratificado,-,-,-,centro,-,-,-,16.3,15.3,17.3,2470000
2000,estratificado,-,-,-,cdmx,-,-,-,15.3,12.9,18.1,837000
2000,estratificado,-,-,-,sur,-,-,-,12.6,11.6,13.6,1474000
2000,estratificado,-,-,-,-,primaria o menos,-,-,18.9,17.9,20.0,3368000
2000,estratificado,-,-,-,-,secundaria,-,-,10.6,9.6,11.8,910000
2000,estratificado,-,-,-,-,media,-,-,10.7,9.6,12.0,843000
2000,estratificado,-,-,-,-,superior,-,-,8.0,6.8,9.5,322000
2000,estratificado,-,-,-,-,-,bajo,-,12.3,11.4,13.2,1361000
2000,estratificado,-,-,-,-,-,medio,-,15.0,14.0,16.0,2020000
2000,estratificado,-,-,-,-,-,alto,-,16.3,15.2,17.4,2648000
2000,estratificado,-,-,-,-,-,-,no,,,,
2000,estratificado,-,-,-,-,-,-,si,,,,
2000,estratificado,hombre,20-39,-,-,-,-,-,5.7,4.7,7.0,593000
2000,estratificado,hombre,40-59,-,-,-,-,-,15.6,13.9,17.5,832000
2000,estratificado,hombre,60+,-,-,-,-,-,24.1,21.5,26.9,589000
2000,estratificado,mujer,20-39,-,-,-,-,-,8.9,8.2,9.7,1202000
2000,estratificado,mujer,40-59,-,-,-,-,-,25.5,24.2,26.9,1602000
2000,estratificado,mujer,60+,-,-,-,-,-,41.3,38.5,44.2,1211000
2000,estratificado,hombre,-,rural,-,-,-,-,9.7,8.5,11.2,610000
2000,estratificado,hombre,-,urbano,-,-,-,-,11.8,10.5,13.2,1404000
2000,estratificado,mujer,-,rural,-,-,-,-,17.1,15.9,18.5,1404000
2000,estratificado,mujer,-,urbano,-,-,-,-,18.1,17.0,19.1,2612000
2000,estratificado,hombre,-,-,norte ,-,-,-,11.9,10.4,13.5,458000
2000,estratificado,hombre,-,-,centro,-,-,-,11.9,10.4,13.7,820000
2000,estratificado,hombre,-,-,cdmx,-,-,-,11.6,7.6,17.4,265000
2000,estratificado,hombre,-,-,sur,-,-,-,9.1,7.8,10.7,471000
2000,estratificado,mujer,-,-,norte ,-,-,-,17.0,15.6,18.5,790000
2000,estratificado,mujer,-,-,centro,-,-,-,19.9,18.4,21.5,1650000
2000,estratificado,mujer,-,-,cdmx,-,-,-,17.9,15.5,20.6,572000
2000,estratificado,mujer,-,-,sur,-,-,-,15.3,14.2,16.6,1004000
2000,estratificado,hombre,-,-,-,primaria o menos,-,-,14.4,12.9,16.1,1020000
2000,estratificado,hombre,-,-,-,secundaria,-,-,9.0,7.4,10.9,376000
2000,estratificado,hombre,-,-,-,media,-,-,8.9,6.9,11.5,313000
2000,estratificado,hombre,-,-,-,superior,-,-,7.6,6.0,9.5,195000
