año,nivel_de_agregacion,sexo,grupo_de_edad,tipo_de_localidad_rural_o_urbano,region_geografica_de_Mexico,nivel_educativo,nivel_socioeconomico,presencia_de_discapacidad,porcentaje_de_diagnostico_de_hipercolesterolemia,intervalo_de_confianza_inferior,intervalo_de_confianza_superior,poblacion_representada_con_diagnostico_de_hipercolesterolemia
2000,nacional,-,-,-,-,-,-,-,6.8,6.3,7.2,3314000
2000,estratificado,hombre,-,-,-,-,-,-,6.8,6.1,7.6,1573000
2000,estratificado,mujer,-,-,-,-,-,-,6.7,6.2,7.3,1741000
2000,estratificado,-,20-39,-,-,-,-,-,3.2,2.8,3.5,935000
2000,estratificado,-,40-59,-,-,-,-,-,11.6,10.5,12.8,1553000
2000,estratificado,-,60+,-,-,-,-,-,13.7,12.4,15.1,826000
2000,estratificado,-,-,rural,-,-,-,-,4.4,3.8,5,810000
2000,estratificado,-,-,urbano,-,-,-,-,8.2,7.6,8.7,2504000
2000,estratificado,-,-,-,norte ,-,-,-,7.4,6.5,8.4,722000
2000,estratificado,-,-,-,centro,-,-,-,5.8,5.1,6.6,1060000
2000,estratificado,-,-,-,cdmx,-,-,-,9.3,7.9,10.9,587000
2000,estratificado,-,-,-,sur,-,-,-,6.4,5.6,7.4,946000
2000,estratificado,-,-,-,-,primaria o menos,-,-,7.4,6.8,8.2,1626000
2000,estratificado,-,-,-,-,secundaria,-,-,4.5,3.8,5.3,470000
2000,estratificado,-,-,-,-,media,-,-,6.7,5.6,7.9,596000
2000,estratificado,-,-,-,-,superior,-,-,8,6.7,9.5,360000
2000,estratificado,-,-,-,-,-,bajo,-,3.1,2.7,3.6,460000
2000,estratificado,-,-,-,-,-,medio,-,6.2,5.7,6.8,996000
2000,estratificado,-,-,-,-,-,alto,-,10.1,9.3,11,1858000
2000,estratificado,-,-,-,-,-,-,no,,,,
2000,estratificado,-,-,-,-,-,-,si,,,,
2000,estratificado,hombre,20-39,-,-,-,-,-,3.5,3,4.1,487000
2000,estratificado,hombre,40-59,-,-,-,-,-,11.3,9.5,13.3,725000
2000,estratificado,hombre,60+,-,-,-,-,-,12.7,10.9,14.8,360000
2000,estratificado,mujer,20-39,-,-,-,-,-,2.8,2.4,3.3,447000
2000,estratificado,mujer,40-59,-,-,-,-,-,11.9,10.6,13.3,828000
2000,estratificado,mujer,60+,-,-,-,-,-,14.6,12.9,16.5,466000
2000,estratificado,hombre,-,rural,-,-,-,-,4.1,3.5,4.9,359000
2000,estratificado,hombre,-,urbano,-,-,-,-,8.4,7.5,9.5,1214000
2000,estratificado,mujer,-,rural,-,-,-,-,4.6,4,5.4,451000
2000,estratificado,mujer,-,urbano,-,-,-,-,7.9,7.2,8.7,1290000
2000,estratificado,hombre,-,-,norte ,-,-,-,7.2,6,8.7,337000
2000,estratificado,hombre,-,-,centro,-,-,-,6.3,4.9,8,548000
