año,nivel_de_agregacion,sexo,grupo_de_edad,tipo_de_localidad_rural_o_urbano,region_geografica_de_Mexico,nivel_educativo,nivel_socioeconomico,presencia_de_discapacidad,porcentaje_de_diagnostico_de_diabetes,intervalo_de_confianza_inferior,intervalo_de_confianza_superior,poblacion_representada_con_diagnostico_de_diabetes
2000,nacional,-,-,-,-,-,-,-,,,,
2000,estratificado,hombre,-,-,-,-,-,-,,,,
2000,estratificado,mujer,-,-,-,-,-,-,,,,
2000,estratificado,-,20-39,-,-,-,-,-,,,,
2000,estratificado,-,40-59,-,-,-,-,-,,,,
2000,estratificado,-,60+,-,-,-,-,-,,,,
2000,estratificado,-,-,rural,-,-,-,-,,,,
2000,estratificado,-,-,urbano,-,-,-,-,,,,
2000,estratificado,-,-,-,norte ,-,-,-,,,,
2000,estratificado,-,-,-,centro,-,-,-,,,,
2000,estratificado,-,-,-,cdmx,-,-,-,,,,
2000,estratificado,-,-,-,sur,-,-,-,,,,
2000,estratificado,-,-,-,-,primaria o menos,-,-,,,,
2000,estratificado,-,-,-,-,secundaria,-,-,,,,
2000,estratificado,-,-,-,-,media,-,-,,,,
2000,estratificado,-,-,-,-,superior,-,-,,,,
2000,estratificado,-,-,-,-,-,bajo,-,,,,
2000,estratificado,-,-,-,-,-,medio,-,,,,
2000,estratificado,-,-,-,-,-,alto,-,,,,
2000,estratificado,-,-,-,-,-,-,no,,,,
2000,estratificado,-,-,-,-,-,-,si,,,,
2000,estratificado,hombre,20-39,-,-,-,-,-,,,,
2000,estratificado,hombre,40-59,-,-,-,-,-,,,,
2000,estratificado,hombre,60+,-,-,-,-,-,,,,
2000,estratificado,mujer,20-39,-,-,-,-,-,,,,
2000,estratificado,mujer,40-59,-,-,-,-,-,,,,
2000,estratificado,mujer,60+,-,-,-,-,-,,,,
2000,estratificado,hombre,-,rural,-,-,-,-,,,,
2000,estratificado,hombre,-,urbano,-,-,-,-,,,,
2000,estratificado,mujer,-,rural,-,-,-,-,,,,
2000,estratificado,mujer,-,urbano,-,-,-,-,,,,
2000,estratificado,hombre,-,-,norte ,-,-,-,,,,
2000,estratificado,hombre,-,-,centro,-,-,-,,,,
2000,estratificado,hombre,-,-,cdmx,-,-,-,,,,
2000,estratificado,hombre,-,-,sur,-,-,-,,,,
2000,estratificado,mujer,-,-,norte ,-,-,-,,,,
2000,estratificado,mujer,-,-,centro,-,-,-,,,,
2000,estratificado,mujer,-,-,cdmx,-,-,-,,,,
2000,estratificado,mujer,-,-,sur,-,-,-,,,,
2000,estratificado,hombre,-,-,-,primaria o menos,-,-,,,,
2000,estratificado,hombre,-,-,-,secundaria,-,-,,,,
2000,estratificado,hombre,-,-,-,media,-,-,,,,
2000,estratificado,hombre,-,-,-,superior,-,-,,,,
2000,estratificado,mujer,-,-,-,primaria o menos,-,-,,,,
2000,estratificado,mujer,-,-,-,secundaria,-,-,,,,
2000,estratificado,mujer,-,-,-,media,-,-,,,,
2000,estratificado,mujer,-,-,-,superior,-,-,,,,
2000,estratificado,hombre,-,-,-,-,bajo,-,,,,
2000,estratificado,hombre,-,-,-,-,medio,-,,,,
2000,estratificado,hombre,-,-,-,-,alto,-,,,,
2000,estratificado,mujer,-,-,-,-,bajo,-,,,,
2000,estratificado,mujer,-,-,-,-,medio,-,,,,
2000,estratificado,mujer,-,-,-,-,alto,-,,,,
2000,estratificado,hombre,-,-,-,-,-,no,,,,
2000,estratificado,hombre,-,-,-,-,-,si,,,,
2000,estratificado,mujer,-,-,-,-,-,no,,,,
2000,estratificado,mujer,-,-,-,-,-,si,,,,
2006,nacional,-,-,-,-,-,-,-,7,6.6,7.5,"4,194,575"
2006,estratificado,hombre,-,-,-,-,-,-,6.6,6,7.3,"1,790,356"
2006,estratificado,mujer,-,-,-,-,-,-,7.4,6.9,7.9,"2,426,896"
2006,estratificado,-,20-39,-,-,-,-,-,1.8,1.5,2.2,"540,639"
2006,estratificado,-,40-59,-,-,-,-,-,9.6,8.8,10.5,"1,901,342"
2006,estratificado,-,60+,-,-,-,-,-,17.5,16,19,"1,764,235"
2006,estratificado,-,-,rural,-,-,-,-,4.8,4.2,5.5,"591,615"
2006,estratificado,-,-,urbano,-,-,-,-,7.6,7.1,8.2,"3,617,386"
2006,estratificado,-,-,-,norte ,-,-,-,7.4,6.8,8,"881,737"
2006,estratificado,-,-,-,centro,-,-,-,6.9,6.1,7.7,"1,604,803"
2006,estratificado,-,-,-,cdmx,-,-,-,8.2,6.5,10.3,"567,954"
2006,estratificado,-,-,-,sur,-,-,-,6.5,5.9,7.2,"1,158,485"
2006,estratificado,-,-,-,-,primaria o menos,-,-,9.9,9.2,10.6,"2,587,448"
2006,estratificado,-,-,-,-,secundaria,-,-,4.2,3.5,5.1,"457,131"
2006,estratificado,-,-,-,-,media,-,-,4,3.1,5.1,"304,780"
2006,estratificado,-,-,-,-,superior,-,-,4.1,3,5.5,"196,767"
2006,estratificado,-,-,-,-,-,bajo,-,5.2,4.6,5.9,"710,271"
2006,estratificado,-,-,-,-,-,medio,-,7.7,7,8.4,"1,189,320"
2006,estratificado,-,-,-,-,-,alto,-,8.1,7.3,9,"1,647,041"
2006,estratificado,-,-,-,-,-,-,no,,,,
2006,estratificado,-,-,-,-,-,-,si,,,,
2006,estratificado,hombre,20-39,-,-,-,-,-,1.9,1.5,2.4,"255,788"
2006,estratificado,hombre,40-59,-,-,-,-,-,9.3,8.1,10.7,"849,512"
2006,estratificado,hombre,60+,-,-,-,-,-,15.1,13.2,17.3,"683,958"
2006,estratificado,mujer,20-39,-,-,-,-,-,1.8,1.4,2.2,"298,313"
2006,estratificado,mujer,40-59,-,-,-,-,-,9.9,8.9,10.9,"1,056,439"
2006,estratificado,mujer,60+,-,-,-,-,-,19.4,17.6,21.3,"1,077,053"
2006,estratificado,hombre,-,rural,-,-,-,-,3.8,3.1,4.6,"215,041"
2006,estratificado,hombre,-,urbano,-,-,-,-,7.3,6.6,8.2,"1,567,138"
2006,estratificado,mujer,-,rural,-,-,-,-,5.6,4.9,6.5,"373,316"
2006,estratificado,mujer,-,urbano,-,-,-,-,7.8,7.2,8.5,"2,038,104"
2006,estratificado,hombre,-,-,norte ,-,-,-,6.2,5.5,7,"345,085"
2006,estratificado,hombre,-,-,centro,-,-,-,7.1,6,8.4,"739,051"
2006,estratificado,hombre,-,-,cdmx,-,-,-,7.5,5,11.2,"241,159"
2006,estratificado,hombre,-,-,sur,-,-,-,5.9,5.1,6.8,"468,230"
2006,estratificado,mujer,-,-,norte ,-,-,-,8.4,7.6,9.3,"533,356"
2006,estratificado,mujer,-,-,centro,-,-,-,6.7,5.9,7.7,"860,873"
2006,estratificado,mujer,-,-,cdmx,-,-,-,8.8,7,11,"326,552"
2006,estratificado,mujer,-,-,sur,-,-,-,7,6.2,7.9,"692,073"
2006,estratificado,hombre,-,-,-,primaria o menos,-,-,8.3,7.4,9.3,"900,942"
2006,estratificado,hombre,-,-,-,secundaria,-,-,5.2,4.1,6.7,"273,172"
2006,estratificado,hombre,-,-,-,media,-,-,4.1,3,5.6,"135,835"
2006,estratificado,hombre,-,-,-,superior,-,-,5.8,4.1,8.3,"153,205"
2006,estratificado,mujer,-,-,-,primaria o menos,-,-,11,10.2,12,"1,680,923"
2006,estratificado,mujer,-,-,-,secundaria,-,-,3.3,2.6,4.2,"185,815"
2006,estratificado,mujer,-,-,-,media,-,-,3.9,2.7,5.7,"167,952"
2006,estratificado,mujer,-,-,-,superior,-,-,1.9,1.2,3.1,"40,997"
2006,estratificado,hombre,-,-,-,-,bajo,-,4.2,3.5,5,"256,349"
2006,estratificado,hombre,-,-,-,-,medio,-,6.8,5.7,8,"456,892"
2006,estratificado,hombre,-,-,-,-,alto,-,8.2,7,9.5,"757,679"
2006,estratificado,mujer,-,-,-,-,bajo,-,6.1,5.2,7,"460,886"
2006,estratificado,mujer,-,-,-,-,medio,-,8.4,7.5,9.4,"733,044"
2006,estratificado,mujer,-,-,-,-,alto,-,8.1,7.1,9.1,"898,602"
2006,estratificado,hombre,-,-,-,-,-,no,,,,
2006,estratificado,hombre,-,-,-,-,-,si,,,,
2006,estratificado,mujer,-,-,-,-,-,no,,,,
2006,estratificado,mujer,-,-,-,-,-,si,,,,
2012,nacional,-,-,-,-,-,-,-,9.2,8.8,9.5,"6,429,845"
2012,estratificado,hombre,-,-,-,-,-,-,8.6,8,9.2,"2,842,170"
2012,estratificado,mujer,-,-,-,-,-,-,9.7,9.1,10.2,"3,573,589"
2012,estratificado,-,20-39,-,-,-,-,-,1.8,1.5,2,"637,778"
2012,estratificado,-,40-59,-,-,-,-,-,13.4,12.6,14.3,"3,177,141"
2012,estratificado,-,60+,-,-,-,-,-,24.2,22.7,25.8,"2,600,893"
2012,estratificado,-,-,rural,-,-,-,-,7,6.5,7.6,"1,031,506"
2012,estratificado,-,-,urbano,-,-,-,-,9.7,9.3,10.2,"5,349,921"
2012,estratificado,-,-,-,norte ,-,-,-,9.4,8.7,10.1,"1,313,582"
2012,estratificado,-,-,-,centro,-,-,-,8.9,8.3,9.5,"2,351,245"
2012,estratificado,-,-,-,cdmx,-,-,-,11.9,10.3,13.7,"961,897"
2012,estratificado,-,-,-,sur,-,-,-,8.3,7.8,8.9,"1,777,337"
2012,estratificado,-,-,-,-,primaria o menos,-,-,14.2,13.5,15,"3,899,138"
2012,estratificado,-,-,-,-,secundaria,-,-,6.4,5.7,7.2,"1,205,041"
2012,estratificado,-,-,-,-,media,-,-,5.2,4.5,6.1,"701,528"
2012,estratificado,-,-,-,-,superior,-,-,5.9,4.9,7.1,"596,561"
2012,estratificado,-,-,-,-,-,bajo,-,7.5,7,8,"1,655,940"
2012,estratificado,-,-,-,-,-,medio,-,9.5,8.8,10.2,"2,255,442"
2012,estratificado,-,-,-,-,-,alto,-,10.4,9.6,11.2,"2,503,168"
2012,estratificado,-,-,-,-,-,-,no,20.5,17.5,23.8,"448,581"
2012,estratificado,-,-,-,-,-,-,si,25.2,23.5,27,"2,143,891"
2012,estratificado,hombre,20-39,-,-,-,-,-,1.4,1.1,1.8,"233,718"
2012,estratificado,hombre,40-59,-,-,-,-,-,13,11.8,14.4,"1,475,457"
2012,estratificado,hombre,60+,-,-,-,-,-,22.5,20.2,24.9,"1,126,048"
2012,estratificado,mujer,20-39,-,-,-,-,-,2.1,1.7,2.5,"393,497"
2012,estratificado,mujer,40-59,-,-,-,-,-,13.7,12.6,14.9,"1,693,366"
2012,estratificado,mujer,60+,-,-,-,-,-,25.8,23.9,27.8,"1,481,650"
2012,estratificado,hombre,-,rural,-,-,-,-,6.1,5.4,6.9,"438,571"
2012,estratificado,hombre,-,urbano,-,-,-,-,9.3,8.6,10,"2,404,868"
2012,estratificado,mujer,-,rural,-,-,-,-,7.9,7.2,8.6,"596,142"
2012,estratificado,mujer,-,urbano,-,-,-,-,10.1,9.5,10.8,"2,958,797"
2012,estratificado,hombre,-,-,norte ,-,-,-,7.4,6.6,8.2,"507,410"
2012,estratificado,hombre,-,-,centro,-,-,-,8.5,7.6,9.5,"1,062,482"
2012,estratificado,hombre,-,-,cdmx,-,-,-,12.9,10.4,15.9,"478,291"
2012,estratificado,hombre,-,-,sur,-,-,-,8,7,9,"798,730"
2012,estratificado,mujer,-,-,norte ,-,-,-,11.3,10.3,12.4,"804,264"
2012,estratificado,mujer,-,-,centro,-,-,-,9.2,8.3,10.2,"1,280,520"
2012,estratificado,mujer,-,-,cdmx,-,-,-,11.1,9,13.5,"485,678"
2012,estratificado,mujer,-,-,sur,-,-,-,8.6,7.9,9.4,"982,943"
2012,estratificado,hombre,-,-,-,primaria o menos,-,-,11.7,10.7,12.7,"1,433,439"
2012,estratificado,hombre,-,-,-,secundaria,-,-,7,5.9,8.4,"644,289"
2012,estratificado,hombre,-,-,-,media,-,-,6.5,5.2,8,"403,372"
2012,estratificado,hombre,-,-,-,superior,-,-,6.8,5.5,8.3,"366,317"
2012,estratificado,mujer,-,-,-,primaria o menos,-,-,16.3,15.3,17.3,"2,478,757"
2012,estratificado,mujer,-,-,-,secundaria,-,-,5.7,4.9,6.7,"548,604"
2012,estratificado,mujer,-,-,-,media,-,-,4.1,3.3,5.1,"298,693"
2012,estratificado,mujer,-,-,-,superior,-,-,4.9,3.7,6.6,"231,486"
2012,estratificado,hombre,-,-,-,-,bajo,-,6.2,5.5,7,"648,527"
2012,estratificado,hombre,-,-,-,-,medio,-,8.3,7.4,9.3,"933,097"
2012,estratificado,hombre,-,-,-,-,alto,-,11.1,9.9,12.5,"1,259,432"
2012,estratificado,mujer,-,-,-,-,bajo,-,8.7,7.9,9.4,"1,010,860"
2012,estratificado,mujer,-,-,-,-,medio,-,10.6,9.6,11.7,"1,324,932"
2012,estratificado,mujer,-,-,-,-,alto,-,9.7,8.6,10.8,"1,234,101"
2012,estratificado,hombre,-,-,-,-,-,no,17.4,13.4,22.2,"177,388"
2012,estratificado,hombre,-,-,-,-,-,si,23.7,21.2,26.5,"937,919"
2012,estratificado,mujer,-,-,-,-,-,no,23.2,18.8,28.1,"271,145"
2012,estratificado,mujer,-,-,-,-,-,si,26.5,24.4,28.8,"1,205,760"
2016,nacional,-,-,-,-,-,-,-,9.4,8.2,10.8,"6,440,575"
2016,estratificado,hombre,-,-,-,-,-,-,8.4,7,10.1,"2,679,217"
2016,estratificado,mujer,-,-,-,-,-,-,10.3,8.5,12.5,"3,771,996"
2016,estratificado,-,20-39,-,-,-,-,-,1.5,1.1,2.1,"519,779"
2016,estratificado,-,40-59,-,-,-,-,-,12.4,10.5,14.5,"2,748,998"
2016,estratificado,-,60+,-,-,-,-,-,27.4,23.2,31.9,"3,204,555"
2016,estratificado,-,-,rural,-,-,-,-,9.3,7.8,11,"1,485,250"
2016,estratificado,-,-,urbano,-,-,-,-,9.5,8,11.2,"4,991,901"
2016,estratificado,-,-,-,norte ,-,-,-,8.7,6.8,11,"1,270,114"
2016,estratificado,-,-,-,centro,-,-,-,9.8,7.3,13,"2,186,010"
2016,estratificado,-,-,-,cdmx,-,-,-,8.3,5.7,11.9,"962,374"
2016,estratificado,-,-,-,sur,-,-,-,10.2,8.5,12.3,"2,041,699"
2016,estratificado,-,-,-,-,primaria o menos,-,-,15.9,13.5,18.6,"3,755,192"
2016,estratificado,-,-,-,-,secundaria,-,-,7,5.5,9,"1,427,929"
2016,estratificado,-,-,-,-,media,-,-,6.4,4.7,8.8,"868,346"
2016,estratificado,-,-,-,-,superior,-,-,3.7,2.4,5.5,"404,495"
2016,estratificado,-,-,-,-,-,bajo,-,8.2,6.9,9.8,"1,181,890"
2016,estratificado,-,-,-,-,-,medio,-,11.5,8.7,15,"2,349,913"
2016,estratificado,-,-,-,-,-,alto,-,8.7,7.2,10.6,"2,929,241"
2016,estratificado,-,-,-,-,-,-,no,,,,
2016,estratificado,-,-,-,-,-,-,si,,,,
2016,estratificado,hombre,20-39,-,-,-,-,-,,,,
2016,estratificado,hombre,40-59,-,-,-,-,-,12.9,10.1,16.3,"1,291,877"
