año,nivel_de_agregacion,sexo,grupo_de_edad,tipo_de_localidad_rural_o_urbano,region_geografica_de_Mexico,nivel_educativo,nivel_socioeconomico,presencia_de_discapacidad,porcentaje_de_diagnostico_de_enfermedad_cardiovascular,intervalo_de_confianza_inferior,intervalo_de_confianza_superior,poblacion_representada_con_diagnostico_de_enfermedad_cardiovascular
2000,nacional,-,-,-,-,-,-,-,,,,
2000,estratificado,hombre,-,-,-,-,-,-,,,,
2000,estratificado,mujer,-,-,-,-,-,-,,,,
2000,estratificado,-,20-39,-,-,-,-,-,,,,
2000,estratificado,-,40-59,-,-,-,-,-,,,,
2000,estratificado,-,60+,-,-,-,-,-,,,,
2000,estratificado,-,-,rural,-,-,-,-,,,,
2000,estratificado,-,-,urbano,-,-,-,-,,,,
2000,estratificado,-,-,-,norte ,-,-,-,,,,
2000,estratificado,-,-,-,centro,-,-,-,,,,
2000,estratificado,-,-,-,cdmx,-,-,-,,,,
2000,estratificado,-,-,-,sur,-,-,-,,,,
2000,estratificado,-,-,-,-,primaria o menos,-,-,,,,
2000,estratificado,-,-,-,-,secundaria,-,-,,,,
2000,estratificado,-,-,-,-,media,-,-,,,,
2000,estratificado,-,-,-,-,superior,-,-,,,,
2000,estratificado,-,-,-,-,-,bajo,-,,,,
2000,estratificado,-,-,-,-,-,medio,-,,,,
2000,estratificado,-,-,-,-,-,alto,-,,,,
2000,estratificado,-,-,-,-,-,-,no,,,,
2000,estratificado,-,-,-,-,-,-,si,,,,
2000,estratificado,hombre,20-39,-,-,-,-,-,,,,
2000,estratificado,hombre,40-59,-,-,-,-,-,,,,
2000,estratificado,hombre,60+,-,-,-,-,-,,,,
2000,estratificado,mujer,20-39,-,-,-,-,-,,,,
2000,estratificado,mujer,40-59,-,-,-,-,-,,,,
2000,estratificado,mujer,60+,-,-,-,-,-,,,,
2000,estratificado,hombre,-,rural,-,-,-,-,,,,
2000,estratificado,hombre,-,urbano,-,-,-,-,,,,
2000,estratificado,mujer,-,rural,-,-,-,-,,,,
2000,estratificado,mujer,-,urbano,-,-,-,-,,,,
2000,estratificado,hombre,-,-,norte ,-,-,-,,,,
2000,estratificado,hombre,-,-,centro,-,-,-,,,,
2000,estratificado,hombre,-,-,cdmx,-,-,-,,,,
2000,estratificado,hombre,-,-,sur,-,-,-,,,,
2000,estratificado,mujer,-,-,norte ,-,-,-,,,,
2000,estratificado,mujer,-,-,centro,-,-,-,,,,
2000,estratificado,mujer,-,-,cdmx,-,-,-,,,,
2000,estratificado,mujer,-,-,sur,-,-,-,,,,
2000,estratificado,hombre,-,-,-,primaria o menos,-,-,,,,
2000,estratificado,hombre,-,-,-,secundaria,-,-,,,,
2000,estratificado,hombre,-,-,-,media,-,-,,,,
2000,estratificado,hombre,-,-,-,superior,-,-,,,,
2000,estratificado,mujer,-,-,-,primaria o menos,-,-,,,,
2000,estratificado,mujer,-,-,-,secundaria,-,-,,,,
2000,estratificado,mujer,-,-,-,media,-,-,,,,
2000,estratificado,mujer,-,-,-,superior,-,-,,,,
2000,estratificado,hombre,-,-,-,-,bajo,-,,,,
2000,estratificado,hombre,-,-,-,-,medio,-,,,,
2000,estratificado,hombre,-,-,-,-,alto,-,,,,
2000,estratificado,mujer,-,-,-,-,bajo,-,,,,
2000,estratificado,mujer,-,-,-,-,medio,-,,,,
2000,estratificado,mujer,-,-,-,-,alto,-,,,,
2000,estratificado,hombre,-,-,-,-,-,no,,,,
2000,estratificado,hombre,-,-,-,-,-,si,,,,
2000,estratificado,mujer,-,-,-,-,-,no,,,,
2000,estratificado,mujer,-,-,-,-,-,si,,,,
2006,nacional,-,-,-,-,-,-,-,4.5,4.2,4.8,2685000
2006,estratificado,hombre,-,-,-,-,-,-,4.0,3.6,4.4,1082000
2006,estratificado,mujer,-,-,-,-,-,-,4.9,4.5,5.3,1603000
2006,estratificado,-,20-39,-,-,-,-,-,2.5,2.2,2.8,742000
2006,estratificado,-,40-59,-,-,-,-,-,4.5,4.0,5.1,895000
2006,estratificado,-,60+,-,-,-,-,-,10.4,9.3,11.6,1049000
2006,estratificado,-,-,rural,-,-,-,-,3.8,3.3,4.3,465000
2006,estratificado,-,-,urbano,-,-,-,-,4.7,4.3,5.1,2221000
2006,estratificado,-,-,-,norte ,-,-,-,5.0,4.5,5.5,593000
2006,estratificado,-,-,-,centro,-,-,-,4.8,4.2,5.4,1114000
2006,estratificado,-,-,-,cdmx,-,-,-,3.9,2.8,5.3,270000
2006,estratificado,-,-,-,sur,-,-,-,4.0,3.5,4.5,710000
2006,estratificado,-,-,-,-,primaria o menos,-,-,5.4,4.9,5.9,1413000
2006,estratificado,-,-,-,-,secundaria,-,-,3.7,3.1,4.4,398000
2006,estratificado,-,-,-,-,media,-,-,3.3,2.6,4.3,254000
2006,estratificado,-,-,-,-,superior,-,-,4.8,3.8,6.2,232000
2006,estratificado,-,-,-,-,-,bajo,-,3.4,2.9,3.9,459000
2006,estratificado,-,-,-,-,-,medio,-,5.1,4.5,5.7,781000
2006,estratificado,-,-,-,-,-,alto,-,5.2,4.6,5.9,1058000
2006,estratificado,-,-,-,-,-,-,no,,,,
2006,estratificado,-,-,-,-,-,-,si,,,,
2006,estratificado,hombre,20-39,-,-,-,-,-,2.1,1.7,2.5,281000
2006,estratificado,hombre,40-59,-,-,-,-,-,4.0,3.2,4.9,363000
2006,estratificado,hombre,60+,-,-,-,-,-,9.7,8.2,11.5,440000
2006,estratificado,mujer,20-39,-,-,-,-,-,2.8,2.4,3.3,462000
2006,estratificado,mujer,40-59,-,-,-,-,-,5.0,4.3,5.8,533000
2006,estratificado,mujer,60+,-,-,-,-,-,11.0,9.6,12.5,610000
2006,estratificado,hombre,-,rural,-,-,-,-,2.9,2.4,3.6,167000
2006,estratificado,hombre,-,urbano,-,-,-,-,4.3,3.8,4.8,916000
2006,estratificado,mujer,-,rural,-,-,-,-,4.5,3.7,5.3,299000
2006,estratificado,mujer,-,urbano,-,-,-,-,5.0,4.5,5.5,1305000
2006,estratificado,hombre,-,-,norte ,-,-,-,4.2,3.6,4.9,232000
2006,estratificado,hombre,-,-,centro,-,-,-,4.3,3.6,5.2,450000
2006,estratificado,hombre,-,-,cdmx,-,-,-,4.5,2.9,6.7,144000
2006,estratificado,hombre,-,-,sur,-,-,-,3.2,2.7,3.8,257000
2006,estratificado,mujer,-,-,norte ,-,-,-,5.7,5.0,6.4,361000
2006,estratificado,mujer,-,-,centro,-,-,-,5.2,4.4,6.0,664000
2006,estratificado,mujer,-,-,cdmx,-,-,-,3.4,2.1,5.4,126000
2006,estratificado,mujer,-,-,sur,-,-,-,4.6,3.9,5.4,453000
2006,estratificado,hombre,-,-,-,primaria o menos,-,-,4.8,4.2,5.5,523000
2006,estratificado,hombre,-,-,-,secundaria,-,-,3.4,2.6,4.4,178000
2006,estratificado,hombre,-,-,-,media,-,-,2.9,2.0,4.1,95000
2006,estratificado,hombre,-,-,-,superior,-,-,4.9,3.4,7.1,131000
2006,estratificado,mujer,-,-,-,primaria o menos,-,-,5.8,5.2,6.5,891000
2006,estratificado,mujer,-,-,-,secundaria,-,-,3.9,3.1,5.0,221000
2006,estratificado,mujer,-,-,-,media,-,-,3.7,2.6,5.2,159000
2006,estratificado,mujer,-,-,-,superior,-,-,4.7,3.3,6.7,102000
2006,estratificado,hombre,-,-,-,-,bajo,-,2.8,2.3,3.5,172000
2006,estratificado,hombre,-,-,-,-,medio,-,4.5,3.7,5.4,303000
2006,estratificado,hombre,-,-,-,-,alto,-,4.9,4.1,5.9,452000
2006,estratificado,mujer,-,-,-,-,bajo,-,3.8,3.2,4.5,287000
2006,estratificado,mujer,-,-,-,-,medio,-,5.5,4.7,6.4,478000
2006,estratificado,mujer,-,-,-,-,alto,-,5.5,4.6,6.4,606000
2006,estratificado,hombre,-,-,-,-,-,no,,,,
2006,estratificado,hombre,-,-,-,-,-,si,,,,
2006,estratificado,mujer,-,-,-,-,-,no,,,,
2006,estratificado,mujer,-,-,-,-,-,si,,,,
2012,nacional,-,-,-,-,-,-,-,6.4,6.0,6.8,4485000
2012,estratificado,hombre,-,-,-,-,-,-,6.0,5.5,6.6,1994000
2012,estratificado,mujer,-,-,-,-,-,-,6.8,6.2,7.3,2491000
2012,estratificado,-,20-39,-,-,-,-,-,4.0,3.5,4.4,1402000
2012,estratificado,-,40-59,-,-,-,-,-,6.6,5.9,7.3,1558000
2012,estratificado,-,60+,-,-,-,-,-,14.2,13.0,15.5,1526000
2012,estratificado,-,-,rural,-,-,-,-,5.3,4.7,5.9,776000
2012,estratificado,-,-,urbano,-,-,-,-,6.7,6.2,7.2,3710000
2012,estratificado,-,-,-,norte ,-,-,-,6.1,5.6,6.7,850000
2012,estratificado,-,-,-,centro,-,-,-,6.6,5.9,7.4,1757000
2012,estratificado,-,-,-,cdmx,-,-,-,7.4,5.8,9.4,598000
2012,estratificado,-,-,-,sur,-,-,-,6.0,5.3,6.7,1281000
2012,estratificado,-,-,-,-,primaria o menos,-,-,8.3,7.6,8.9,2268000
2012,estratificado,-,-,-,-,secundaria,-,-,5.5,4.8,6.4,1043000
2012,estratificado,-,-,-,-,media,-,-,5.0,4.2,5.9,671000
2012,estratificado,-,-,-,-,superior,-,-,5.0,4.1,6.0,504000
2012,estratificado,-,-,-,-,-,bajo,-,5.6,5.1,6.2,1236000
2012,estratificado,-,-,-,-,-,medio,-,6.3,5.7,7.0,1501000
2012,estratificado,-,-,-,-,-,alto,-,7.3,6.5,8.1,1749000
2012,estratificado,-,-,-,-,-,-,no,,,,
2012,estratificado,-,-,-,-,-,-,si,,,,
2012,estratificado,hombre,20-39,-,-,-,-,-,3.8,3.2,4.6,639000
2012,estratificado,hombre,40-59,-,-,-,-,-,5.6,4.8,6.5,634000
2012,estratificado,hombre,60+,-,-,-,-,-,14.4,12.6,16.4,722000
2012,estratificado,mujer,20-39,-,-,-,-,-,4.1,3.6,4.7,763000
2012,estratificado,mujer,40-59,-,-,-,-,-,7.5,6.5,8.6,924000
2012,estratificado,mujer,60+,-,-,-,-,-,14.0,12.5,15.7,805000
2012,estratificado,hombre,-,rural,-,-,-,-,5.0,4.3,5.9,364000
2012,estratificado,hombre,-,urbano,-,-,-,-,6.3,5.7,7.0,1631000
2012,estratificado,mujer,-,rural,-,-,-,-,5.5,4.7,6.4,413000
2012,estratificado,mujer,-,urbano,-,-,-,-,7.1,6.5,7.7,2079000
2012,estratificado,hombre,-,-,norte ,-,-,-,5.3,4.6,6.0,362000
2012,estratificado,hombre,-,-,centro,-,-,-,6.2,5.3,7.2,772000
2012,estratificado,hombre,-,-,cdmx,-,-,-,8.2,5.9,11.2,304000
2012,estratificado,hombre,-,-,sur,-,-,-,5.6,4.8,6.5,558000
2012,estratificado,mujer,-,-,norte ,-,-,-,6.9,6.1,7.7,488000
2012,estratificado,mujer,-,-,centro,-,-,-,7.1,6.2,8.1,986000
2012,estratificado,mujer,-,-,cdmx,-,-,-,6.7,5.1,8.8,294000
2012,estratificado,mujer,-,-,sur,-,-,-,6.3,5.5,7.2,723000
2012,estratificado,hombre,-,-,-,primaria o menos,-,-,8.1,7.2,9.1,990000
2012,estratificado,hombre,-,-,-,secundaria,-,-,5.3,4.3,6.6,491000
2012,estratificado,hombre,-,-,-,media,-,-,4.7,3.6,6.1,290000
2012,estratificado,hombre,-,-,-,superior,-,-,4.2,3.2,5.3,225000
2012,estratificado,mujer,-,-,-,primaria o menos,-,-,8.4,7.6,9.2,1279000
2012,estratificado,mujer,-,-,-,secundaria,-,-,5.7,4.9,6.7,553000
2012,estratificado,mujer,-,-,-,media,-,-,5.2,4.2,6.5,382000
2012,estratificado,mujer,-,-,-,superior,-,-,5.9,4.4,7.8,279000
2012,estratificado,hombre,-,-,-,-,bajo,-,5.3,4.6,6.0,553000
2012,estratificado,hombre,-,-,-,-,medio,-,5.5,4.7,6.5,621000
2012,estratificado,hombre,-,-,-,-,alto,-,7.2,6.1,8.5,821000
2012,estratificado,mujer,-,-,-,-,bajo,-,5.9,5.2,6.7,683000
2012,estratificado,mujer,-,-,-,-,medio,-,7.0,6.2,8.0,880000
2012,estratificado,mujer,-,-,-,-,alto,-,7.3,6.3,8.4,928000
2012,estratificado,hombre,-,-,-,-,-,no,,,,
2012,estratificado,hombre,-,-,-,-,-,si,,,,
2012,estratificado,mujer,-,-,-,-,-,no,,,,
2012,estratificado,mujer,-,-,-,-,-,si,,,,
2016,nacional,-,-,-,-,-,-,-,4.5,3.8,5.2,3179000
2016,estratificado,hombre,-,-,-,-,-,-,4.4,3.5,5.6,1505000
2016,estratificado,mujer,-,-,-,-,-,-,4.5,3.6,5.6,1674000
2016,estratificado,-,20-39,-,-,-,-,-,2.7,1.9,3.8,982000
2016,estratificado,-,40-59,-,-,-,-,-,4.7,3.6,6.1,1084000
2016,estratificado,-,60+,-,-,-,-,-,9.4,7.4,11.8,1113000
2016,estratificado,-,-,rural,-,-,-,-,3.5,2.7,4.5,568000
2016,estratificado,-,-,urbano,-,-,-,-,4.8,4.0,5.7,2611000
2016,estratificado,-,-,-,norte ,-,-,-,4.5,3.2,6.4,674000
2016,estratificado,-,-,-,centro,-,-,-,3.1,2.4,4.1,734000
2016,estratificado,-,-,-,cdmx,-,-,-,5.5,3.7,8.1,682000
2016,estratificado,-,-,-,sur,-,-,-,5.4,4.0,7.1,1090000
2016,estratificado,-,-,-,-,primaria o menos,-,-,5.4,4.4,6.7,1322000
2016,estratificado,-,-,-,-,secundaria,-,-,5.2,3.8,7.2,1112000
2016,estratificado,-,-,-,-,media,-,-,3.4,2.3,4.8,481000
2016,estratificado,-,-,-,-,superior,-,-,2.3,1.3,4.1,265000
2016,estratificado,-,-,-,-,-,bajo,-,4.0,3.0,5.2,583000
2016,estratificado,-,-,-,-,-,medio,-,4.5,3.5,5.8,958000
2016,estratificado,-,-,-,-,-,alto,-,4.6,3.6,5.9,1638000
2016,estratificado,-,-,-,-,-,-,no,,,,
2016,estratificado,-,-,-,-,-,-,si,,,,
2016,estratificado,hombre,20-39,-,-,-,-,-,,,,
2016,estratificado,hombre,40-59,-,-,-,-,-,4.3,3.0,6.0,460000
2016,estratificado,hombre,60+,-,-,-,-,-,9.0,6.3,12.6,505000
2016,estratificado,mujer,20-39,-,-,-,-,-,2.4,1.6,3.4,442000
2016,estratificado,mujer,40-59,-,-,-,-,-,5.1,3.5,7.4,625000
2016,estratificado,mujer,60+,-,-,-,-,-,9.7,7.3,13.0,608000
2016,estratificado,hombre,-,rural,-,-,-,-,2.9,2.0,4.1,229000
2016,estratificado,hombre,-,urbano,-,-,-,-,4.9,3.7,6.5,1276000
2016,estratificado,mujer,-,rural,-,-,-,-,4.1,2.9,5.6,339000
2016,estratificado,mujer,-,urbano,-,-,-,-,4.6,3.5,6.1,1335000
2016,estratificado,hombre,-,-,norte ,-,-,-,,,,
2016,estratificado,hombre,-,-,centro,-,-,-,,,,
2016,estratificado,hombre,-,-,cdmx,-,-,-,,,,
2016,estratificado,hombre,-,-,sur,-,-,-,,,,
