año,nivel_de_agregacion,sexo,grupo_de_edad,tipo_de_localidad_rural_o_urbano,region_geografica_de_Mexico,nivel_educativo,nivel_socioeconomico,presencia_de_discapacidad,porcentaje_de_diagnostico_de_enfermedad_renal,intervalo_de_confianza_inferior,intervalo_de_confianza_superior,poblacion_representada_con_diagnostico_de_enfermedad_renal
2000,nacional,-,-,-,-,-,-,-,10.9,10.3,11.4,5600000
2000,estratificado,hombre,-,-,-,-,-,-,5.1,4.6,5.7,1271000
2000,estratificado,mujer,-,-,-,-,-,-,16.3,15.5,17.0,4329000
2000,estratificado,-,20-39,-,-,-,-,-,10.8,10.2,11.4,3372000
2000,estratificado,-,40-59,-,-,-,-,-,11.5,10.6,12.5,1608000
2000,estratificado,-,60+,-,-,-,-,-,9.9,8.8,11.2,619000
2000,estratificado,-,-,rural,-,-,-,-,9.8,8.9,10.7,1882000
2000,estratificado,-,-,urbano,-,-,-,-,11.5,10.8,12.3,3718000
2000,estratificado,-,-,-,norte ,-,-,-,11.9,10.9,13.0,1215000
2000,estratificado,-,-,-,centro,-,-,-,10.4,9.5,11.4,1985000
2000,estratificado,-,-,-,cdmx,-,-,-,12.8,11.1,14.6,865000
2000,estratificado,-,-,-,sur,-,-,-,10.0,9.0,11.1,1535000
2000,estratificado,-,-,-,-,primaria o menos,-,-,10.9,10.2,11.7,2483000
2000,estratificado,-,-,-,-,secundaria,-,-,11.3,10.5,12.1,1235000
2000,estratificado,-,-,-,-,media,-,-,12.1,10.9,13.4,1134000
2000,estratificado,-,-,-,-,superior,-,-,9.2,7.9,10.7,442000
2000,estratificado,-,-,-,-,-,bajo,-,9.0,8.2,9.8,1374000
2000,estratificado,-,-,-,-,-,medio,-,11.6,10.8,12.4,1939000
2000,estratificado,-,-,-,-,-,alto,-,11.8,10.9,12.9,2287000
2000,estratificado,-,-,-,-,-,-,no,,,,
2000,estratificado,-,-,-,-,-,-,si,,,,
2000,estratificado,hombre,20-39,-,-,-,-,-,4.7,4.0,5.4,706000
2000,estratificado,hombre,40-59,-,-,-,-,-,5.3,4.5,6.3,363000
2000,estratificado,hombre,60+,-,-,-,-,-,6.9,5.6,8.4,202000
2000,estratificado,mujer,20-39,-,-,-,-,-,16.5,15.6,17.4,2667000
2000,estratificado,mujer,40-59,-,-,-,-,-,17.4,16.1,18.9,1245000
2000,estratificado,mujer,60+,-,-,-,-,-,12.6,10.9,14.6,417000
2000,estratificado,hombre,-,rural,-,-,-,-,4.8,4.1,5.6,447000
2000,estratificado,hombre,-,urbano,-,-,-,-,5.3,4.6,6.1,824000
2000,estratificado,mujer,-,rural,-,-,-,-,14.4,13.1,15.9,1435000
2000,estratificado,mujer,-,urbano,-,-,-,-,17.3,16.4,18.3,2893000
2000,estratificado,hombre,-,-,norte ,-,-,-,6.2,5.1,7.5,314000
2000,estratificado,hombre,-,-,centro,-,-,-,4.8,4.0,5.7,442000
2000,estratificado,hombre,-,-,cdmx,-,-,-,5.8,3.7,8.9,179000
2000,estratificado,hombre,-,-,sur,-,-,-,4.5,3.8,5.3,336000
2000,estratificado,mujer,-,-,norte ,-,-,-,17.4,15.9,19.0,901000
2000,estratificado,mujer,-,-,centro,-,-,-,15.7,14.5,17.0,1543000
2000,estratificado,mujer,-,-,cdmx,-,-,-,18.6,16.4,21.0,685000
2000,estratificado,mujer,-,-,sur,-,-,-,15.1,13.6,16.8,1199000
2000,estratificado,hombre,-,-,-,primaria o menos,-,-,5.1,4.4,6.0,516000
2000,estratificado,hombre,-,-,-,secundaria,-,-,5.2,4.3,6.3,305000
2000,estratificado,hombre,-,-,-,media,-,-,5.1,3.5,7.4,229000
2000,estratificado,hombre,-,-,-,superior,-,-,4.9,3.8,6.3,153000
2000,estratificado,mujer,-,-,-,primaria o menos,-,-,15.5,14.6,16.5,1967000
2000,estratificado,mujer,-,-,-,secundaria,-,-,18.1,16.7,19.6,930000
2000,estratificado,mujer,-,-,-,media,-,-,18.3,16.8,20.0,905000
2000,estratificado,mujer,-,-,-,superior,-,-,17.2,14.3,20.6,289000
2000,estratificado,hombre,-,-,-,-,bajo,-,3.7,3.1,4.4,270000
2000,estratificado,hombre,-,-,-,-,medio,-,5.7,4.8,6.6,453000
2000,estratificado,hombre,-,-,-,-,alto,-,5.7,4.7,6.9,548000
2000,estratificado,mujer,-,-,-,-,bajo,-,13.7,12.4,15.0,1103000
2000,estratificado,mujer,-,-,-,-,medio,-,17.0,15.9,18.1,1487000
2000,estratificado,mujer,-,-,-,-,alto,-,17.7,16.4,19.2,1738000
2000,estratificado,hombre,-,-,-,-,-,no,,,,
2000,estratificado,hombre,-,-,-,-,-,si,,,,
2000,estratificado,mujer,-,-,-,-,-,no,,,,
2000,estratificado,mujer,-,-,-,-,-,si,,,,
2006,nacional,-,-,-,-,-,-,-,15.0,14.4,15.7,8999000
2006,estratificado,hombre,-,-,-,-,-,-,9.7,9.0,10.4,2628000
2006,estratificado,mujer,-,-,-,-,-,-,19.4,18.5,20.3,6371000
2006,estratificado,-,20-39,-,-,-,-,-,14.3,13.5,15.2,4304000
2006,estratificado,-,40-59,-,-,-,-,-,15.9,15.0,16.9,3153000
2006,estratificado,-,60+,-,-,-,-,-,15.3,14.0,16.7,1543000
2006,estratificado,-,-,rural,-,-,-,-,12.5,11.4,13.6,1536000
2006,estratificado,-,-,urbano,-,-,-,-,15.7,14.9,16.4,7463000
2006,estratificado,-,-,-,norte ,-,-,-,14.3,13.5,15.1,1703000
2006,estratificado,-,-,-,centro,-,-,-,15.4,14.3,16.7,3588000
2006,estratificado,-,-,-,cdmx,-,-,-,16.8,14.3,19.6,1161000
2006,estratificado,-,-,-,sur,-,-,-,14.3,13.4,15.2,2548000
2006,estratificado,-,-,-,-,primaria o menos,-,-,15.9,15.0,16.8,4155000
2006,estratificado,-,-,-,-,secundaria,-,-,14.8,13.6,16.1,1612000
2006,estratificado,-,-,-,-,media,-,-,16.1,14.6,17.7,1224000
2006,estratificado,-,-,-,-,superior,-,-,13.7,11.7,16.1,659000
2006,estratificado,-,-,-,-,-,bajo,-,12.6,11.7,13.6,1724000
2006,estratificado,-,-,-,-,-,medio,-,17.1,16.0,18.3,2640000
2006,estratificado,-,-,-,-,-,alto,-,16.2,15.1,17.2,3286000
2006,estratificado,-,-,-,-,-,-,no,,,,
2006,estratificado,-,-,-,-,-,-,si,,,,
2006,estratificado,hombre,20-39,-,-,-,-,-,7.2,6.5,8.1,974000
2006,estratificado,hombre,40-59,-,-,-,-,-,11.3,10.2,12.5,1030000
2006,estratificado,hombre,60+,-,-,-,-,-,13.8,12.1,15.7,624000
2006,estratificado,mujer,20-39,-,-,-,-,-,20.1,18.8,21.5,3330000
2006,estratificado,mujer,40-59,-,-,-,-,-,19.9,18.5,21.3,2122000
2006,estratificado,mujer,60+,-,-,-,-,-,16.6,14.9,18.4,919000
2006,estratificado,hombre,-,rural,-,-,-,-,7.8,6.9,8.9,444000
