año,nivel_de_agregacion,sexo,grupo_de_edad,tipo_de_localidad_rural_o_urbano,region_geografica_de_Mexico,nivel_educativo,nivel_socioeconomico,presencia_de_discapacidad,porcentaje_de_personas_con_obesidad,intervalo_de_confianza_inferior,intervalo_de_confianza_superior,poblacion_representada_con_obesidad
2000,nacional ,-,-,-,-,-,-,-,23.5,22.7,24.4," 11,348,000 "
2000,estratificado,hombre,-,-,-,-,-,-,18.5,17.4,19.7," 4,214,000 "
2000,estratificado,mujer,-,-,-,-,-,-,28.0,27.0,29.0," 7,133,000 "
2000,estratificado,-,20-39,-,-,-,-,-,19.0,18.3,19.8," 5,567,000 "
2000,estratificado,-,40-59,-,-,-,-,-,32.6,31.1,34.1," 4,301,000 "
2000,estratificado,-,60+,-,-,-,-,-,25.6,24.0,27.3," 1,480,000 "
2000,estratificado,-,-,rural,-,-,-,-,20.2,18.9,21.6," 3,657,000 "
2000,estratificado,-,-,urbano,-,-,-,-,25.5,24.6,26.5," 7,691,000 "
2000,estratificado,-,-,-,norte ,-,-,-,28.4,27.2,29.7," 2,723,000 "
2000,estratificado,-,-,-,centro,-,-,-,23.9,22.5,25.3," 4,274,000 "
2000,estratificado,-,-,-,cdmx,-,-,-,22.9,20.4,25.6," 1,409,000 "
2000,estratificado,-,-,-,sur,-,-,-,20.2,18.7,21.8," 2,942,000 "
2000,estratificado,-,-,-,-,primaria o menos,-,-,26.5,25.3,27.8," 5,670,000 "
2000,estratificado,-,-,-,-,secundaria,-,-,20.6,19.3,22.0," 2,121,000 "
2000,estratificado,-,-,-,-,media,-,-,21.5,19.8,23.4," 1,896,000 "
2000,estratificado,-,-,-,-,superior,-,-,19.6,17.5,21.9," 867,000 "
2000,estratificado,-,-,-,-,-,bajo,-,17.7,16.5,19.0," 2,558,000 "
2000,estratificado,-,-,-,-,-,medio,-,25.6,24.5,26.8," 4,033,000 "
2000,estratificado,-,-,-,-,-,alto,-,26.4,25.2,27.7," 4,757,000 "
2000,estratificado,-,-,-,-,-,-,no,,,,
2000,estratificado,-,-,-,-,-,-,si,,,,
2000,estratificado,hombre,20-39,-,-,-,-,-,15.6,14.2,17.0," 2,130,000 "
2000,estratificado,hombre,40-59,-,-,-,-,-,24.5,22.5,26.5," 1,546,000 "
2000,estratificado,hombre,60+,-,-,-,-,-,19.7,17.5,22.2," 538,000 "
2000,estratificado,mujer,20-39,-,-,-,-,-,22.1,21.1,23.1," 3,437,000 "
2000,estratificado,mujer,40-59,-,-,-,-,-,40.1,38.4,41.9," 2,754,000 "
2000,estratificado,mujer,60+,-,-,-,-,-,30.9,28.9,33.0," 942,000 "
2000,estratificado,hombre,-,rural,-,-,-,-,14.6,13.2,16.2," 1,250,000 "
2000,estratificado,hombre,-,urbano,-,-,-,-,20.9,19.5,22.4," 2,964,000 "
2000,estratificado,mujer,-,rural,-,-,-,-,25.2,23.5,27.0," 2,407,000 "
2000,estratificado,mujer,-,urbano,-,-,-,-,29.7,28.6,30.8," 4,726,000 "
2000,estratificado,hombre,-,-,norte ,-,-,-,23.1,21.2,25.2," 1,063,000 "
2000,estratificado,hombre,-,-,centro,-,-,-,18.6,17.0,20.4," 1,596,000 "
2000,estratificado,hombre,-,-,cdmx,-,-,-,18.9,14.2,24.6," 510,000 "
2000,estratificado,hombre,-,-,sur,-,-,-,15.2,13.4,17.3," 1,045,000 "
2000,estratificado,mujer,-,-,norte ,-,-,-,33.3,31.9,34.7," 1,660,000 "
2000,estratificado,mujer,-,-,centro,-,-,-,28.7,26.8,30.6," 2,678,000 "
2000,estratificado,mujer,-,-,cdmx,-,-,-,26.0,23.7,28.3," 899,000 "
2000,estratificado,mujer,-,-,sur,-,-,-,24.7,22.9,26.6," 1,897,000 "
2000,estratificado,hombre,-,-,-,primaria o menos,-,-,18.4,17.0,19.9," 1,701,000 "
2000,estratificado,hombre,-,-,-,secundaria,-,-,17.3,15.0,19.8," 921,000 "
2000,estratificado,hombre,-,-,-,media,-,-,19.5,16.4,23.1," 798,000 "
2000,estratificado,hombre,-,-,-,superior,-,-,20.5,17.5,23.7," 588,000 "
2000,estratificado,mujer,-,-,-,primaria o menos,-,-,32.7,31.2,34.2," 3,970,000 "
2000,estratificado,mujer,-,-,-,secundaria,-,-,24.3,22.7,25.9," 1,200,000 "
2000,estratificado,mujer,-,-,-,media,-,-,23.3,21.5,25.1," 1,098,000 "
2000,estratificado,mujer,-,-,-,superior,-,-,18.0,15.6,20.8," 279,000 "
2000,estratificado,hombre,-,-,-,-,bajo,-,11.7,10.3,13.3," 779,000 "
2000,estratificado,hombre,-,-,-,-,medio,-,18.9,17.3,20.6," 1,386,000 "
2000,estratificado,hombre,-,-,-,-,alto,-,23.5,21.6,25.5," 2,050,000 "
2000,estratificado,mujer,-,-,-,-,bajo,-,22.9,21.3,24.6," 1,779,000 "
2000,estratificado,mujer,-,-,-,-,medio,-,31.5,29.9,33.2," 2,647,000 "
2000,estratificado,mujer,-,-,-,-,alto,-,29.1,27.8,30.5," 2,707,000 "
2000,estratificado,hombre,-,-,-,-,-,no,,,,
2000,estratificado,hombre,-,-,-,-,-,si,,,,
2000,estratificado,mujer,-,-,-,-,-,no,,,,
2000,estratificado,mujer,-,-,-,-,-,si,,,,
2006,nacional ,-,-,-,-,-,-,-,29.9,29.1,30.7," 12,943,000 "
2006,estratificado,hombre,-,-,-,-,-,-,23.5,22.4,24.6," 4,201,000 "
2006,estratificado,mujer,-,-,-,-,-,-,34.4,33.3,35.5," 8,742,000 "
2006,estratificado,-,20-39,-,-,-,-,-,25.0,24.0,26.1," 5,295,000 "
2006,estratificado,-,40-59,-,-,-,-,-,37.7,36.3,39.1," 5,522,000 "
2006,estratificado,-,60+,-,-,-,-,-,28.4,26.7,30.1," 2,126,000 "
2006,estratificado,-,-,rural,-,-,-,-,24.9,23.2,26.6," 2,459,000 "
2006,estratificado,-,-,urbano,-,-,-,-,31.4,30.5,32.2," 10,484,000 "
2006,estratificado,-,-,-,norte ,-,-,-,34.7,33.3,36.2," 2,944,000 "
2006,estratificado,-,-,-,centro,-,-,-,29.8,28.5,31.1," 4,821,000 "
2006,estratificado,-,-,-,cdmx,-,-,-,29.3,26.2,32.5," 1,389,000 "
2006,estratificado,-,-,-,sur,-,-,-,27.3,26.0,28.6," 3,790,000 "
2006,estratificado,-,-,-,-,primaria o menos,-,-,32.3,31.2,33.3," 7,410,000 "
2006,estratificado,-,-,-,-,secundaria,-,-,28.9,27.4,30.5," 2,737,000 "
2006,estratificado,-,-,-,-,media,-,-,26.3,24.4,28.2," 1,733,000 "
2006,estratificado,-,-,-,-,superior,-,-,24.7,22.1,27.5," 1,009,000 "
2006,estratificado,-,-,-,-,-,bajo,-,23.9,22.5,25.2," 2,830,000 "
2006,estratificado,-,-,-,-,-,medio,-,32.1,30.8,33.3," 4,397,000 "
2006,estratificado,-,-,-,-,-,alto,-,32.3,30.9,33.7," 5,661,000 "
2006,estratificado,-,-,-,-,-,-,no,,,, -   
2006,estratificado,-,-,-,-,-,-,si,,,, -   
2006,estratificado,hombre,20-39,-,-,-,-,-,21.1,19.5,22.7," 1,774,000 "
2006,estratificado,hombre,40-59,-,-,-,-,-,29.1,27.2,31.2," 1,783,000 "
2006,estratificado,hombre,60+,-,-,-,-,-,19.3,17.3,21.5," 644,000 "
2006,estratificado,mujer,20-39,-,-,-,-,-,27.6,26.3,29.0," 3,521,000 "
2006,estratificado,mujer,40-59,-,-,-,-,-,43.8,41.9,45.7," 3,739,000 "
2006,estratificado,mujer,60+,-,-,-,-,-,35.6,33.1,38.2," 1,482,000 "
2006,estratificado,hombre,-,rural,-,-,-,-,17.4,15.5,19.5," 705,000 "
2006,estratificado,hombre,-,urbano,-,-,-,-,25.3,24.0,26.6," 3,496,000 "
2006,estratificado,mujer,-,rural,-,-,-,-,30.0,27.9,32.2," 1,753,000 "
2006,estratificado,mujer,-,urbano,-,-,-,-,35.7,34.4,36.9," 6,989,000 "
2006,estratificado,hombre,-,-,norte ,-,-,-,25.9,24.0,27.8," 950,000 "
2006,estratificado,hombre,-,-,centro,-,-,-,23.3,21.6,25.2," 1,524,000 "
