año,nivel_de_agregacion,sexo,grupo_de_edad,tipo_de_localidad_rural_o_urbano,region_geografica_de_Mexico,nivel_educativo,nivel_socioeconomico,presencia_de_discapacidad,porcentaje_de_personas_con_sobrepeso,intervalo_de_confianza_inferior,intervalo_de_confianza_superior,poblacion_representada_con_sobrepeso
2000,nacional ,-,-,-,-,-,-,-,38.4,37.5,39.3," 18,507,000 "
2000,estratificado,hombre,-,-,-,-,-,-,40.9,39.3,42.5," 9,300,000 "
2000,estratificado,mujer,-,-,-,-,-,-,36.2,35.4,36.9," 9,207,000 "
2000,estratificado,-,20-39,-,-,-,-,-,36.7,35.6,37.7," 10,720,000 "
2000,estratificado,-,40-59,-,-,-,-,-,42.1,40.4,43.8," 5,546,000 "
2000,estratificado,-,60+,-,-,-,-,-,38.8,36.7,41.1," 2,241,000 "
2000,estratificado,-,-,rural,-,-,-,-,35.9,34.8,37.1," 6,506,000 "
2000,estratificado,-,-,urbano,-,-,-,-,39.9,38.7,41.1," 12,001,000 "
2000,estratificado,-,-,-,norte ,-,-,-,37.7,36.6,38.7," 3,609,000 "
2000,estratificado,-,-,-,centro,-,-,-,39.3,37.8,40.8," 7,043,000 "
2000,estratificado,-,-,-,cdmx,-,-,-,39.7,36.2,43.4," 2,449,000 "
2000,estratificado,-,-,-,sur,-,-,-,37.2,35.5,38.8," 5,405,000 "
2000,estratificado,-,-,-,-,primaria o menos,-,-,38.4,37.2,39.6," 8,202,000 "
2000,estratificado,-,-,-,-,secundaria,-,-,40.1,38.4,41.9," 4,123,000 "
2000,estratificado,-,-,-,-,media,-,-,37.1,35.1,39.2," 3,271,000 "
2000,estratificado,-,-,-,-,superior,-,-,40.3,37.6,43.1," 1,782,000 "
2000,estratificado,-,-,-,-,-,bajo,-,35.4,34.0,36.8," 5,110,000 "
2000,estratificado,-,-,-,-,-,medio,-,38.9,37.6,40.2," 6,123,000 "
2000,estratificado,-,-,-,-,-,alto,-,40.4,39.0,41.8," 7,274,000 "
2000,estratificado,-,-,-,-,-,-,no,,,,
2000,estratificado,-,-,-,-,-,-,si,,,,
2000,estratificado,hombre,20-39,-,-,-,-,-,38.8,36.9,40.8," 5,314,000 "
2000,estratificado,hombre,40-59,-,-,-,-,-,45.4,42.3,48.5," 2,869,000 "
