año,nivel_de_agregacion,sexo,grupo_de_edad,tipo_de_localidad_rural_o_urbano,region_geografica_de_Mexico,nivel_educativo,nivel_socioeconomico,presencia_de_discapacidad,porcentaje_de_personas_con_inicio_de_vida_sexual_antes_de_15_aÒos,intervalo_de_confianza_inferior,intervalo_de_confianza_superior,poblacion_representada_con_inicio_de_vida_sexual_antes_de_15_aÒos
2000,nacional ,-,-,-,-,-,-,-,8.2,7.7,8.8,2814000
2000,estratificado,hombre,-,-,-,-,-,-,9.5,8.6,10.6,1533000
2000,estratificado,mujer,-,-,-,-,-,-,7.1,6.6,7.7,1281000
2000,estratificado,-,20-29,-,-,-,-,-,8.1,7.4,8.9,1150000
2000,estratificado,-,30-39,-,-,-,-,-,8.1,7.3,8.9,971000
2000,estratificado,-,40-49,-,-,-,-,-,8.7,7.9,9.7,693000
2000,estratificado,-,-,rural,-,-,-,-,8.3,7.6,9.1,1040000
2000,estratificado,-,-,urbano,-,-,-,-,8.2,7.4,9.1,1774000
2000,estratificado,-,-,-,norte ,-,-,-,8.2,7.2,9.4,567000
2000,estratificado,-,-,-,centro,-,-,-,7.0,6.2,8.0,881000
2000,estratificado,-,-,-,cdmx,-,-,-,6.8,4.8,9.5,297000
2000,estratificado,-,-,-,sur,-,-,-,10.4,9.6,11.2,1069000
2000,estratificado,-,-,-,-,primaria o menos,-,-,10.0,9.2,10.7,1379000
2000,estratificado,-,-,-,-,secundaria,-,-,7.6,6.7,8.6,669000
2000,estratificado,-,-,-,-,media,-,-,5.8,4.7,7.2,410000
2000,estratificado,-,-,-,-,superior,-,-,4.4,3.4,5.8,144000
2000,estratificado,-,-,-,-,-,bajo,-,11.0,10.1,12.0,1182000
2000,estratificado,-,-,-,-,-,medio,-,7.8,6.8,8.9,897000
2000,estratificado,-,-,-,-,-,alto,-,6.2,5.3,7.2,735000
2000,estratificado,-,-,-,-,-,-,no,,,,
2000,estratificado,-,-,-,-,-,-,si,,,,
2000,estratificado,hombre,20-29,-,-,-,-,-,9.5,8.1,11.0,632000
2000,estratificado,hombre,30-39,-,-,-,-,-,9.9,8.6,11.5,558000
2000,estratificado,hombre,40-49,-,-,-,-,-,9.0,7.6,10.6,343000
2000,estratificado,mujer,20-29,-,-,-,-,-,6.9,6.1,7.8,518000
2000,estratificado,mujer,30-39,-,-,-,-,-,6.5,5.7,7.3,413000
2000,estratificado,mujer,40-49,-,-,-,-,-,8.5,7.5,9.7,350000
2000,estratificado,hombre,-,rural,-,-,-,-,7.7,6.6,8.9,443000
2000,estratificado,hombre,-,urbano,-,-,-,-,10.6,9.3,12.0,1090000
2000,estratificado,mujer,-,rural,-,-,-,-,8.9,7.9,10.0,597000
2000,estratificado,mujer,-,urbano,-,-,-,-,6.0,5.5,6.7,683000
2000,estratificado,hombre,-,-,norte ,-,-,-,10.2,8.5,12.2,339000
2000,estratificado,hombre,-,-,centro,-,-,-,8.0,6.6,9.8,478000
2000,estratificado,hombre,-,-,cdmx,-,-,-,8.1,4.9,13.1,159000
2000,estratificado,hombre,-,-,sur,-,-,-,11.5,10.0,13.1,557000
2000,estratificado,mujer,-,-,norte ,-,-,-,6.4,5.7,7.1,229000
2000,estratificado,mujer,-,-,centro,-,-,-,6.1,5.3,7.0,403000
2000,estratificado,mujer,-,-,cdmx,-,-,-,5.7,4.3,7.6,138000
2000,estratificado,mujer,-,-,sur,-,-,-,9.4,8.3,10.7,512000
2000,estratificado,hombre,-,-,-,primaria o menos,-,-,9.4,8.1,10.9,529000
