año,nivel_de_agregacion,sexo,grupo_de_edad,tipo_de_localidad_rural_o_urbano,region_geografica_de_Mexico,nivel_educativo,nivel_socioeconomico,presencia_de_discapacidad,porcentaje_de_personas_con_prueba_de_vih,intervalo_de_confianza_inferior,intervalo_de_confianza_superior,poblacion_representada_con_prueba_de_vih
2000,nacional ,-,-,-,-,-,-,-,,,,
2000,estratificado,hombre,-,-,-,-,-,-,,,,
2000,estratificado,mujer,-,-,-,-,-,-,,,,
2000,estratificado,-,20-29,-,-,-,-,-,,,,
2000,estratificado,-,30-39,-,-,-,-,-,,,,
2000,estratificado,-,40-49,-,-,-,-,-,,,,
2000,estratificado,-,-,rural,-,-,-,-,,,,
2000,estratificado,-,-,urbano,-,-,-,-,,,,
2000,estratificado,-,-,-,norte ,-,-,-,,,,
2000,estratificado,-,-,-,centro,-,-,-,,,,
2000,estratificado,-,-,-,cdmx,-,-,-,,,,
2000,estratificado,-,-,-,sur,-,-,-,,,,
2000,estratificado,-,-,-,-,primaria o menos,-,-,,,,
2000,estratificado,-,-,-,-,secundaria,-,-,,,,
2000,estratificado,-,-,-,-,media,-,-,,,,
2000,estratificado,-,-,-,-,superior,-,-,,,,
2000,estratificado,-,-,-,-,-,bajo,-,,,,
2000,estratificado,-,-,-,-,-,medio,-,,,,
2000,estratificado,-,-,-,-,-,alto,-,,,,
2000,estratificado,-,-,-,-,-,-,no,,,,
2000,estratificado,-,-,-,-,-,-,si,,,,
2000,estratificado,hombre,20-29,-,-,-,-,-,,,,
2000,estratificado,hombre,30-39,-,-,-,-,-,,,,
2000,estratificado,hombre,40-49,-,-,-,-,-,,,,
2000,estratificado,mujer,20-29,-,-,-,-,-,,,,
2000,estratificado,mujer,30-39,-,-,-,-,-,,,,
2000,estratificado,mujer,40-49,-,-,-,-,-,,,,
2000,estratificado,hombre,-,rural,-,-,-,-,,,,
2000,estratificado,hombre,-,urbano,-,-,-,-,,,,
2000,estratificado,mujer,-,rural,-,-,-,-,,,,
2000,estratificado,mujer,-,urbano,-,-,-,-,,,,
2000,estratificado,hombre,-,-,norte ,-,-,-,,,,
2000,estratificado,hombre,-,-,centro,-,-,-,,,,
2000,estratificado,hombre,-,-,cdmx,-,-,-,,,,
2000,estratificado,hombre,-,-,sur,-,-,-,,,,
2000,estratificado,mujer,-,-,norte ,-,-,-,,,,
2000,estratificado,mujer,-,-,centro,-,-,-,,,,
2000,estratificado,mujer,-,-,cdmx,-,-,-,,,,
2000,estratificado,mujer,-,-,sur,-,-,-,,,,
2000,estratificado,hombre,-,-,-,primaria o menos,-,-,,,,
2000,estratificado,hombre,-,-,-,secundaria,-,-,,,,
2000,estratificado,hombre,-,-,-,media,-,-,,,,
2000,estratificado,hombre,-,-,-,superior,-,-,,,,
2000,estratificado,mujer,-,-,-,primaria o menos,-,-,,,,
2000,estratificado,mujer,-,-,-,secundaria,-,-,,,,
2000,estratificado,mujer,-,-,-,media,-,-,,,,
2000,estratificado,mujer,-,-,-,superior,-,-,,,,
2000,estratificado,hombre,-,-,-,-,bajo,-,,,,
2000,estratificado,hombre,-,-,-,-,medio,-,,,,
2000,estratificado,hombre,-,-,-,-,alto,-,,,,
2000,estratificado,mujer,-,-,-,-,bajo,-,,,,
2000,estratificado,mujer,-,-,-,-,medio,-,,,,
2000,estratificado,mujer,-,-,-,-,alto,-,,,,
2000,estratificado,hombre,-,-,-,-,-,no,,,,
2000,estratificado,hombre,-,-,-,-,-,si,,,,
2000,estratificado,mujer,-,-,-,-,-,no,,,,
2000,estratificado,mujer,-,-,-,-,-,si,,,,
2006,nacional ,-,-,-,-,-,-,-,,,,
2006,estratificado,hombre,-,-,-,-,-,-,,,,
2006,estratificado,mujer,-,-,-,-,-,-,,,,
2006,estratificado,-,20-29,-,-,-,-,-,,,,
2006,estratificado,-,30-39,-,-,-,-,-,,,,
2006,estratificado,-,40-49,-,-,-,-,-,,,,
2006,estratificado,-,-,rural,-,-,-,-,,,,
2006,estratificado,-,-,urbano,-,-,-,-,,,,
2006,estratificado,-,-,-,norte ,-,-,-,,,,
2006,estratificado,-,-,-,centro,-,-,-,,,,
2006,estratificado,-,-,-,cdmx,-,-,-,,,,
2006,estratificado,-,-,-,sur,-,-,-,,,,
2006,estratificado,-,-,-,-,primaria o menos,-,-,,,,
2006,estratificado,-,-,-,-,secundaria,-,-,,,,
2006,estratificado,-,-,-,-,media,-,-,,,,
2006,estratificado,-,-,-,-,superior,-,-,,,,
2006,estratificado,-,-,-,-,-,bajo,-,,,,
2006,estratificado,-,-,-,-,-,medio,-,,,,
2006,estratificado,-,-,-,-,-,alto,-,,,,
2006,estratificado,-,-,-,-,-,-,no,,,,
2006,estratificado,-,-,-,-,-,-,si,,,,
2006,estratificado,hombre,20-29,-,-,-,-,-,,,,
2006,estratificado,hombre,30-39,-,-,-,-,-,,,,
2006,estratificado,hombre,40-49,-,-,-,-,-,,,,
2006,estratificado,mujer,20-29,-,-,-,-,-,,,,
2006,estratificado,mujer,30-39,-,-,-,-,-,,,,
2006,estratificado,mujer,40-49,-,-,-,-,-,,,,
2006,estratificado,hombre,-,rural,-,-,-,-,,,,
2006,estratificado,hombre,-,urbano,-,-,-,-,,,,
2006,estratificado,mujer,-,rural,-,-,-,-,,,,
2006,estratificado,mujer,-,urbano,-,-,-,-,,,,
2006,estratificado,hombre,-,-,norte ,-,-,-,,,,
2006,estratificado,hombre,-,-,centro,-,-,-,,,,
2006,estratificado,hombre,-,-,cdmx,-,-,-,,,,
2006,estratificado,hombre,-,-,sur,-,-,-,,,,
2006,estratificado,mujer,-,-,norte ,-,-,-,,,,
2006,estratificado,mujer,-,-,centro,-,-,-,,,,
2006,estratificado,mujer,-,-,cdmx,-,-,-,,,,
2006,estratificado,mujer,-,-,sur,-,-,-,,,,
2006,estratificado,hombre,-,-,-,primaria o menos,-,-,,,,
2006,estratificado,hombre,-,-,-,secundaria,-,-,,,,
2006,estratificado,hombre,-,-,-,media,-,-,,,,
2006,estratificado,hombre,-,-,-,superior,-,-,,,,
2006,estratificado,mujer,-,-,-,primaria o menos,-,-,,,,
2006,estratificado,mujer,-,-,-,secundaria,-,-,,,,
2006,estratificado,mujer,-,-,-,media,-,-,,,,
2006,estratificado,mujer,-,-,-,superior,-,-,,,,
2006,estratificado,hombre,-,-,-,-,bajo,-,,,,
2006,estratificado,hombre,-,-,-,-,medio,-,,,,
2006,estratificado,hombre,-,-,-,-,alto,-,,,,
2006,estratificado,mujer,-,-,-,-,bajo,-,,,,
2006,estratificado,mujer,-,-,-,-,medio,-,,,,
2006,estratificado,mujer,-,-,-,-,alto,-,,,,
2006,estratificado,hombre,-,-,-,-,-,no,,,,
2006,estratificado,hombre,-,-,-,-,-,si,,,,
2006,estratificado,mujer,-,-,-,-,-,no,,,,
2006,estratificado,mujer,-,-,-,-,-,si,,,,
2012,nacional ,-,-,-,-,-,-,-,22.4,21.5,23.3,10820000
2012,estratificado,hombre,-,-,-,-,-,-,20.9,19.7,22.1,4750000
2012,estratificado,mujer,-,-,-,-,-,-,23.8,22.7,24.9,6070000
2012,estratificado,-,20-29,-,-,-,-,-,22.1,20.8,23.5,4158000
2012,estratificado,-,30-39,-,-,-,-,-,25.6,24.3,27.0,4176000
2012,estratificado,-,40-49,-,-,-,-,-,18.8,17.6,20.2,2479000
2012,estratificado,-,-,rural,-,-,-,-,16.6,15.2,18.1,1694000
2012,estratificado,-,-,urbano,-,-,-,-,24.0,22.9,25.1,9126000
2012,estratificado,-,-,-,norte ,-,-,-,27.8,26.2,29.4,2764000
2012,estratificado,-,-,-,centro,-,-,-,20.5,18.9,22.1,3742000
2012,estratificado,-,-,-,cdmx,-,-,-,20.1,17.0,23.6,1055000
2012,estratificado,-,-,-,sur,-,-,-,22.0,20.5,23.6,3259000
2012,estratificado,-,-,-,-,primaria o menos,-,-,14.2,13.0,15.4,1851000
2012,estratificado,-,-,-,-,secundaria,-,-,21.3,20.1,22.6,3363000
2012,estratificado,-,-,-,-,media,-,-,26.5,24.8,28.2,3022000
2012,estratificado,-,-,-,-,superior,-,-,32.1,29.8,34.5,2585000
2012,estratificado,-,-,-,-,-,bajo,-,17.7,16.6,18.9,2765000
2012,estratificado,-,-,-,-,-,medio,-,23.0,21.6,24.4,3883000
2012,estratificado,-,-,-,-,-,alto,-,26.5,24.8,28.3,4172000
2012,estratificado,-,-,-,-,-,-,no,,,,
2012,estratificado,-,-,-,-,-,-,si,,,,
2012,estratificado,hombre,20-29,-,-,-,-,-,18.6,16.8,20.6,1709000
2012,estratificado,hombre,30-39,-,-,-,-,-,24.5,22.5,26.5,1792000
2012,estratificado,hombre,40-49,-,-,-,-,-,19.9,18.1,21.9,1246000
2012,estratificado,mujer,20-29,-,-,-,-,-,25.4,23.7,27.3,2449000
2012,estratificado,mujer,30-39,-,-,-,-,-,26.6,24.9,28.4,2384000
2012,estratificado,mujer,40-49,-,-,-,-,-,17.8,16.2,19.6,1233000
2012,estratificado,hombre,-,rural,-,-,-,-,14.2,12.5,16.2,691000
2012,estratificado,hombre,-,urbano,-,-,-,-,22.7,21.3,24.1,4059000
2012,estratificado,mujer,-,rural,-,-,-,-,18.8,17.0,20.8,1003000
2012,estratificado,mujer,-,urbano,-,-,-,-,25.1,23.8,26.5,5067000
2012,estratificado,hombre,-,-,norte ,-,-,-,23.4,21.4,25.5,1149000
2012,estratificado,hombre,-,-,centro,-,-,-,19.3,17.3,21.4,1672000
2012,estratificado,hombre,-,-,cdmx,-,-,-,17.9,14.1,22.5,433000
2012,estratificado,hombre,-,-,sur,-,-,-,22.1,20.1,24.3,1497000
2012,estratificado,mujer,-,-,norte ,-,-,-,32.1,29.9,34.4,1615000
2012,estratificado,mujer,-,-,centro,-,-,-,21.5,19.6,23.6,2070000
2012,estratificado,mujer,-,-,cdmx,-,-,-,22.0,17.9,26.7,622000
2012,estratificado,mujer,-,-,sur,-,-,-,21.9,20.2,23.7,1763000
2012,estratificado,hombre,-,-,-,primaria o menos,-,-,10.6,9.2,12.2,621000
2012,estratificado,hombre,-,-,-,secundaria,-,-,19.8,18.1,21.6,1499000
2012,estratificado,hombre,-,-,-,media,-,-,23.3,20.9,25.8,1221000
2012,estratificado,hombre,-,-,-,superior,-,-,34.4,31.1,37.8,1408000
2012,estratificado,mujer,-,-,-,primaria o menos,-,-,17.1,15.5,18.8,1229000
2012,estratificado,mujer,-,-,-,secundaria,-,-,22.7,21.0,24.5,1864000
2012,estratificado,mujer,-,-,-,media,-,-,29.2,27.0,31.5,1800000
2012,estratificado,mujer,-,-,-,superior,-,-,29.8,26.9,32.8,1176000
2012,estratificado,hombre,-,-,-,-,bajo,-,15.0,13.5,16.7,1086000
2012,estratificado,hombre,-,-,-,-,medio,-,20.7,19.0,22.6,1693000
2012,estratificado,hombre,-,-,-,-,alto,-,26.7,24.3,29.4,1970000
2012,estratificado,mujer,-,-,-,-,bajo,-,20.0,18.5,21.5,1679000
2012,estratificado,mujer,-,-,-,-,medio,-,25.1,23.2,27.0,2189000
2012,estratificado,mujer,-,-,-,-,alto,-,26.3,24.3,28.4,2202000
2012,estratificado,hombre,-,-,-,-,-,no,,,,
2012,estratificado,hombre,-,-,-,-,-,si,,,,
2012,estratificado,mujer,-,-,-,-,-,no,,,,
2012,estratificado,mujer,-,-,-,-,-,si,,,,
2016,nacional ,-,-,-,-,-,-,-,,,,
2016,estratificado,hombre,-,-,-,-,-,-,,,,
2016,estratificado,mujer,-,-,-,-,-,-,,,,
2016,estratificado,-,20-29,-,-,-,-,-,,,,
2016,estratificado,-,30-39,-,-,-,-,-,,,,
2016,estratificado,-,40-49,-,-,-,-,-,,,,
2016,estratificado,-,-,rural,-,-,-,-,,,,
2016,estratificado,-,-,urbano,-,-,-,-,,,,
2016,estratificado,-,-,-,norte ,-,-,-,,,,
2016,estratificado,-,-,-,centro,-,-,-,,,,
2016,estratificado,-,-,-,cdmx,-,-,-,,,,
2016,estratificado,-,-,-,sur,-,-,-,,,,
2016,estratificado,-,-,-,-,primaria o menos,-,-,,,,
2016,estratificado,-,-,-,-,secundaria,-,-,,,,
2016,estratificado,-,-,-,-,media,-,-,,,,
2016,estratificado,-,-,-,-,superior,-,-,,,,
2016,estratificado,-,-,-,-,-,bajo,-,,,,
2016,estratificado,-,-,-,-,-,medio,-,,,,
2016,estratificado,-,-,-,-,-,alto,-,,,,
2016,estratificado,-,-,-,-,-,-,no,,,,
2016,estratificado,-,-,-,-,-,-,si,,,,
2016,estratificado,hombre,20-29,-,-,-,-,-,,,,
2016,estratificado,hombre,30-39,-,-,-,-,-,,,,
2016,estratificado,hombre,40-49,-,-,-,-,-,,,,
2016,estratificado,mujer,20-29,-,-,-,-,-,,,,
2016,estratificado,mujer,30-39,-,-,-,-,-,,,,
2016,estratificado,mujer,40-49,-,-,-,-,-,,,,
2016,estratificado,hombre,-,rural,-,-,-,-,,,,
2016,estratificado,hombre,-,urbano,-,-,-,-,,,,
2016,estratificado,mujer,-,rural,-,-,-,-,,,,
2016,estratificado,mujer,-,urbano,-,-,-,-,,,,
2016,estratificado,hombre,-,-,norte ,-,-,-,,,,
2016,estratificado,hombre,-,-,centro,-,-,-,,,,
2016,estratificado,hombre,-,-,cdmx,-,-,-,,,,
2016,estratificado,hombre,-,-,sur,-,-,-,,,,
2016,estratificado,mujer,-,-,norte ,-,-,-,,,,
2016,estratificado,mujer,-,-,centro,-,-,-,,,,
2016,estratificado,mujer,-,-,cdmx,-,-,-,,,,
2016,estratificado,mujer,-,-,sur,-,-,-,,,,
2016,estratificado,hombre,-,-,-,primaria o menos,-,-,,,,
2016,estratificado,hombre,-,-,-,secundaria,-,-,,,,
2016,estratificado,hombre,-,-,-,media,-,-,,,,
2016,estratificado,hombre,-,-,-,superior,-,-,,,,
2016,estratificado,mujer,-,-,-,primaria o menos,-,-,,,,
2016,estratificado,mujer,-,-,-,secundaria,-,-,,,,
2016,estratificado,mujer,-,-,-,media,-,-,,,,
2016,estratificado,mujer,-,-,-,superior,-,-,,,,
2016,estratificado,hombre,-,-,-,-,bajo,-,,,,
2016,estratificado,hombre,-,-,-,-,medio,-,,,,
2016,estratificado,hombre,-,-,-,-,alto,-,,,,
2016,estratificado,mujer,-,-,-,-,bajo,-,,,,
2016,estratificado,mujer,-,-,-,-,medio,-,,,,
2016,estratificado,mujer,-,-,-,-,alto,-,,,,
2016,estratificado,hombre,-,-,-,-,-,no,,,,
2016,estratificado,hombre,-,-,-,-,-,si,,,,
2016,estratificado,mujer,-,-,-,-,-,no,,,,
2016,estratificado,mujer,-,-,-,-,-,si,,,,
2018,nacional ,-,-,-,-,-,-,-,33.1,32.2,34.0,17531000
2018,estratificado,hombre,-,-,-,-,-,-,27.3,26.1,28.5,6658000
2018,estratificado,mujer,-,-,-,-,-,-,38.0,36.8,39.2,10873000
2018,estratificado,-,20-29,-,-,-,-,-,32.7,31.1,34.2,6350000
2018,estratificado,-,30-39,-,-,-,-,-,36.7,35.3,38.2,6342000
