año,nivel_de_agregacion,sexo,grupo_de_edad,tipo_de_localidad_rural_o_urbano,region_geografica_de_Mexico,nivel_educativo,nivel_socioeconomico,presencia_de_discapacidad,porcentaje_de_personas_que_sufrieron_violencia,intervalo_de_confianza_inferior,intervalo_de_confianza_superior,poblacion_representada_que_sufrieron_violencia
2000,nacional,-,-,-,-,-,-,-,1.9,1.6,2.3,949000
2000,estratificado,hombre,-,-,-,-,-,-,2.6,2.0,3.3,596000
2000,estratificado,mujer,-,-,-,-,-,-,1.3,1.1,1.7,352000
2000,estratificado,-,20-39,-,-,-,-,-,2.3,1.9,2.8,677000
2000,estratificado,-,40-59,-,-,-,-,-,1.8,1.3,2.5,246000
2000,estratificado,-,60+,-,-,-,-,-,,,,
2000,estratificado,-,-,rural,-,-,-,-,1.2,.9,1.5,220000
2000,estratificado,-,-,urbano,-,-,-,-,2.4,1.9,2.9,729000
2000,estratificado,-,-,-,norte ,-,-,-,1.2,.9,1.6,120000
2000,estratificado,-,-,-,centro,-,-,-,2.3,1.6,3.3,431000
2000,estratificado,-,-,-,cdmx,-,-,-,3.4,2.6,4.4,216000
2000,estratificado,-,-,-,sur,-,-,-,1.2,.9,1.6,181000
2000,estratificado,-,-,-,-,primaria o menos ,-,-,1.5,1.2,1.8,326000
2000,estratificado,-,-,-,-,secundaria,-,-,2.2,1.7,2.9,232000
2000,estratificado,-,-,-,-,media,-,-,2.7,1.9,3.7,241000
2000,estratificado,-,-,-,-,superior,-,-,2.3,1.6,3.5,105000
2000,estratificado,-,-,-,-,-,bajo,-,1.6,1.2,2.1,233000
2000,estratificado,-,-,-,-,-,medio,-,1.8,1.3,2.4,287000
2000,estratificado,-,-,-,-,-,alto,-,2.3,1.8,2.9,428000
2000,estratificado,-,-,-,-,-,-,no,,,,
2000,estratificado,-,-,-,-,-,-,si,,,,
2000,estratificado,hombre,20-39,-,-,-,-,-,3.1,2.3,4.1,435000
2000,estratificado,hombre,40-59,-,-,-,-,-,2.3,1.6,3.4,153000
2000,estratificado,hombre,60+,-,-,-,-,-,,,,
2000,estratificado,mujer,20-39,-,-,-,-,-,1.5,1.2,1.9,243000
2000,estratificado,mujer,40-59,-,-,-,-,-,1.3,.9,1.9,93000
2000,estratificado,mujer,60+,-,-,-,-,-,,,,
2000,estratificado,hombre,-,rural,-,-,-,-,,,,
2000,estratificado,hombre,-,urbano,-,-,-,-,,,,
2000,estratificado,mujer,-,rural,-,-,-,-,,,,
2000,estratificado,mujer,-,urbano,-,-,-,-,,,,
